NAME_2,STATE_NA_1,Land resource area,Pasture_grassland_mean_npp(gC/m2/yr),Grassland/Pasture NPP percetage of LRRs,HANPP_grazing(gC/m2/yr)Site_speific,Grassland/Pasture area_Acres,Grassland/Pasture area_m2,HANPP_grazing_Tonnes(Site specific),County_Area_m2,HANPP_grazing_gC/m2/yr(County),HANPP_grazing_Tonnes(County)
Tyrrell,North Carolina,"Atlantic , gulf coast lowland",776.949588,9.68,75.20872012,41.6,168349.376,12.6613411,1060800000,0.011935653,12.6613411
Pasquotank,North Carolina,"Atlantic , gulf coast lowland",970.049301,9.68,93.90077234,66.9,270734.934,25.4222194,601267968,0.042281014,25.4222194
Gates,North Carolina,"Atlantic , gulf coast lowland",558.277302,9.68,54.04124283,747.5,3025027.85,163.4762646,895222016,0.182609746,163.4762646
Berkeley,South Carolina,"Atlantic , gulf coast lowland",505.000349,9.68,48.88403378,9796.9,39646682.73,1938.089778,3183719936,0.608750084,1938.089778
Dorchester,South Carolina,"Atlantic , gulf coast lowland",563.0685258,9.68,54.5050333,4911.1,19874534.15,1083.262145,1491219968,0.726426797,1083.262145
Beaufort,South Carolina,"Atlantic , gulf coast lowland",709.355475,9.68,68.66560998,5479.8,22175983.43,1522.727429,1833430016,0.830534799,1522.727429
Charleston,South Carolina,"Atlantic , gulf coast lowland",715.297253,9.68,69.24077409,9129.7,36946617.74,2558.212412,2653690112,0.96402078,2558.212412
Colleton,South Carolina,"Atlantic , gulf coast lowland",548.873411,9.68,53.13094618,8731.7,35335967.46,1877.433386,2786279936,0.673813626,1877.433386
Georgetown,South Carolina,"Atlantic , gulf coast lowland",519.190782,9.68,50.2576677,1968,7964220.48,400.2631464,2257690112,0.177288789,400.2631464
Hampton,South Carolina,"Atlantic , gulf coast lowland",478.54895,9.68,46.32353836,7010.8,28371726.09,1314.278742,1457030016,0.902025852,1314.278742
Horry,South Carolina,"Atlantic , gulf coast lowland",784.908134,9.68,75.97910737,761.5,3081683.89,234.1435912,2967960064,0.078890412,234.1435912
Jasper,South Carolina,"Atlantic , gulf coast lowland",524.623831,9.68,50.78358684,2335.4,9451036.844,479.9575503,1741120000,0.275660236,479.9575503
Aransas,Texas,"Atlantic , gulf coast lowland",400.265836,9.68,38.74573292,12096,48950818.56,1896.635342,754401984,2.514091138,1896.635342
