,,,,,                                                                                                                                              HANPP Harvest Total in KiloTonnes 1,,,,,,,,,,,,HANPP Harvest Total in Kilotonnes,,,                             HANPP Harvest Total in Kilotonnes,,,,Total All HANPP Harvest in Kilotonnes,                                                                                                                           County- wide HANPP Harvest Total in gC/m2/yr 2,,,,,,,,,,,,County-wide HANPP Harvest Total in gC/m2/yr 2,,,                   County-wide HANPP Harvest Total in gC/m2/yr 2,,,,Total All HANPP Harvest County-wide in gC/m2/yr 2,                                                                                                                         Onsite HANPP Harvest Total in gC/m2/yr 3,,,,,,,,,,,,Onsite HANPP Harvest Total in gC/m2/yr,,,                        Onsite HANPP Harvest Total in gC/m2/yr,,,,Total Onsite All HANPP in gC/m2/yr,                                                                                                                                      HANPP Harvest Used in Kilotonnes 4,,,,,,,,,,,,HANPP Harvest Used in Kilotonnes,,,                      HANPP Harvest Used in Kilotonnes,,,,Total All HANPP Used in Kilotonnes,                                                                                                                 HANPP Harvest Unused in Kilotonnes 5,,,,,,,,,,,,HANPP Harvest Unused in Kilotonnes,,,HANPP Harvest Unused in Kilotonnes,,,,Total All HANPP Unused in Kilotonnes,                                                                                                                   HANPP Harvest Above Ground in Kilotonnes 6,,,,,,,,,,,,   HANPP Harvest Above Ground in Kilotonnes,,,                 HANPP Harvest Above Ground in Kilotonnes,,,,Total All HANPP Aboveground in Kilotonnes,                                                                    HANPP Harvest Below Ground in Kilotonnes 7,,,,,,,,,,,,           HANPP Harvest Below Ground in Kilotonnes,,,                     HANPP Harvest Below Ground in Kilotonnes,,,,Total All HANPP Belowground in Kilotonnes,                                                                                                                   HANPP Harvest Used County-wide in gC/m2/yr 8,,,,,,,,,,,,        HANPP Harvest Used County-wide in gC/m2/yr,,,        HANPP Harvest Used County-wide in gC/m2/yr,,,,Total All HANPP Harvest Used County-wide in gC/m2/yr,                                        HANPP Harvest Unused County-wide in gC/m2/yr 9,,,,,,,,,,,,HANPP Harvest Unused County-wide in gC/m2/yr,,,HANPP Harvest Unused County-wide in gC/m2/yr,,,,Total All HANPP Harvest Unused County-wide in gC/m2/yr,HANPP Harvest Aboveground County-wide in gC/m2/yr 10,,,,,,,,,,,,HANPP Harvest Aboveground County-wide in gC/m2/yr,,,HANPP Harvest Aboveground County-wide in gC/m2/yr,,,,Total All HANPP Harvest Aboveground County-wide in gC/m2/yr,     HANPP Harvest Belowground County-wide in gC/m2/yr 11,,,,,,,,,,,,HANPP Harvest Belowground County-wide in gC/m2/yr,,,HANPP Harvest Belowground County-wide in gC/m2/yr,,,,Total All HANPP Harvest Belowground County-wide in gC/m2/yr,HANPP Harvest Used Onsite in gC/m2/yr 12,,,,,,,,,,,,HANPP Harvest Used Onsite in gC/m2/yr,,,HANPP Harvest Used Onsite in gC/m2/yr,,,,Total All HANPP Harvest Used Onsite gC/m2/yr,HANPP Harvest Unused Onsite in gC/m2/yr 13,,,,,,,,,,,,HANPP Harvest Unused Onsite in gC/m2/yr,,,HANPP Harvest Unused Onsite in gC/m2/yr,,,,Total All HANPP Harvest Unused Onsite gC/m2/yr,      HANPP Harvest Aboveground Onsite in gC/m2/yr 14,,,,,,,,,,,,HANPP Harvest Aboveground Onsite in gC/m2/yr,,,HANPP Harvest Aboveground Onsite in gC/m2/yr,,,,Total All HANPP Harvest Aboveground Onsite gC/m2/yr,HANPP Harvest Belowground Onsite in gC/m2/yr 15,,,,,,,,,,,,HANPP Harvest Belowground Onsite in gC/m2/yr,,,HANPP Harvest Belowground Onsite in gC/m2/yr,,,,Total All HANPP Harvest Belowground Onsite gC/m2/yr
COFFEY,KANSAS,KANSAS_COFFEY,2012,1694130048,23.87917162,,29.50901249,,,25.34591348,1.457031094,,,1.922392053,8.211352073,90.3248728,3.072225429,,3.072225429,,0,,,,14.09524118,,17.41838681,,,14.96101997,0.860046781,,,1.134737003,4.846943174,53.31637492,1.813453125,,1.813453125,0,,,,,217.5679615,,357.1654864,,,92.03309179,366.4251208,,,168.7522306,120.1943891,1322.13828,,,,,,,,,12.65596096,,13.27905562,,,11.6591202,1.457031094,,,0.903524265,3.995469213,43.95016135,3.063667698,,,,,,,,11.22321066,,16.22995687,,,13.68679328,0,,,1.018867788,4.215882859,46.37471145,0.008557731,,0.008557731,,,,,,20.29729587,,13.27905562,,,11.6591202,0.670234303,,,1.78782461,4.769353061,52.46288367,2.457780343,,2.457780343,,,,,,3.581875743,,16.22995687,,,13.68679328,0.786796791,,,0.134567444,3.441999012,37.86198913,0.614445086,,0.614445086,,,,,,3.581875743,,7.838274065,,,6.882069186,0.860046781,,,0.533326391,1.969559217,21.66515138,1.808401723,,1.808401723,,,,,,6.624763355,,9.580112746,,,8.078950783,0,,,0.601410612,2.48852375,27.37376125,0.005051401,,0.005051401,,,,,,11.980955,,14.45726105,,,13.01608737,0.395621519,,,1.055305413,4.090523036,44.9957534,1.4507625,,1.4507625,,,,,,2.114286177,,2.961125758,,,8.078950783,0.464425262,,,0.07943159,1.369821957,15.06804153,0.362690625,,0.362690625,,,,,,115.3110196,,160.7244689,,,42.33522222,366.4251208,,,79.31354839,76.41093799,840.5203179,,,,,,,,,102.2569419,,196.4410175,,,49.69786957,0,,,89.43868222,43.78345112,481.6179623,,,,,,,,,184.9327673,,160.7244689,,,42.33522222,168.5555556,,,156.9395745,71.34875884,784.8363473,,,,,,,,,32.63519423,,196.4410175,,,49.69786957,197.8695652,,,11.81265614,48.84563027,537.3019329,,,,,,,,
COMANCHE,KANSAS,KANSAS_COMANCHE,2012,2045529984,3.279122381,,54.43863339,,,0.52511124,7.315826087,,,4.831299657,7.038999275,77.42899203,,,0,,0,,,,1.603067374,,26.61346146,,,0.256711583,3.576494182,,,2.361881612,3.441161621,37.85277783,,,0,0,,,,,426.1367616,,258.4197343,,,191.2973551,376.3285024,,,140.3427642,139.2525118,1531.777629,,,,,,,,,1.737934862,,24.49738502,,,0.24155117,7.315826087,,,2.270710839,3.606340798,39.66974878,,,,,,,,,1.541187519,,29.94124836,,,0.283560069,0,,,2.560588818,3.432658477,37.75924325,,,0,,,,,,2.787254024,,24.49738502,,,0.24155117,3.36528,,,4.493108681,3.53845789,38.92303679,,,0,,,,,,0.491868357,,29.94124836,,,0.283560069,3.950546087,,,0.338190976,3.500541385,38.50595524,,,0,,,,,,0.491868357,,11.97605766,,,0.118087328,3.576494182,,,1.110084358,1.727259188,18.99985107,,,0,,,,,,0.753441666,,14.6374038,,,0.138624255,0,,,1.251797255,1.678126698,18.45939367,,,0,,,,,,1.362607268,,22.08917301,,,0.223339077,1.645187324,,,2.1965499,2.751685658,30.26854223,,,0,,,,,,0.240460106,,4.524288448,,,0.138624255,1.931306858,,,0.165331713,0.700001138,7.700012517,,,0,,,,,,225.8524837,,116.2888804,,,87.99678333,376.3285024,,,65.96109916,87.2427749,959.6705239,,,,,,,,,200.284278,,142.1308538,,,103.3005717,0,,,74.38166501,52.00973686,572.1071054,,,,,,,,,362.2162474,,116.2888804,,,87.99678333,173.1111111,,,130.5187707,87.01317929,957.1449722,,,,,,,,,63.92051424,,142.1308538,,,103.3005717,203.2173913,,,9.823993492,52.23933246,574.6326571,,,,,,,,
COWLEY,KANSAS,KANSAS_COWLEY,2012,2932610048,13.09162008,,120.7268612,,,19.40479941,6.873026087,,,9.65109348,16.97474002,186.7221403,1.839912165,,1.839912165,,0,,,,4.464153045,,41.16703524,,,6.616904086,2.343654961,,,3.290956971,5.78827043,63.67097473,0.627397484,,0.627397484,0,,,,,237.6837341,,349.4619171,,,84.80192029,356.5217391,,,102.2740792,113.074339,1243.817729,,,,,,,,,6.93855864,,54.32708753,,,8.926207729,6.873026087,,,4.536013935,8.160089392,89.76098332,1.839912165,,,,,,,,6.153061435,,66.39977365,,,10.47859168,0,,,5.115079544,8.814650631,96.96115694,0,,0,,,,,,11.12787706,,54.32708753,,,8.926207729,3.161592,,,8.975516936,8.651828126,95.17010939,1.471929732,,1.471929732,,,,,,1.963743011,,66.39977365,,,10.47859168,3.711434087,,,0.675576544,8.322911897,91.55203087,0.367982433,,0.367982433,,,,,,1.963743011,,18.52516586,,,3.04377588,2.343654961,,,1.546749776,2.742308948,30.16539843,0.627397484,,0.627397484,,,,,,2.098151931,,22.64186938,,,3.573128207,0,,,1.744207194,3.005735671,33.06309238,0,,0,,,,,,3.794530088,,34.16863925,,,5.756706555,1.078081282,,,3.060589983,4.785854715,52.64440187,0.501917987,,0.501917987,,,,,,0.669622957,,6.99839599,,,3.573128207,1.265573679,,,0.230366988,1.273708782,14.0107966,0.125479497,,0.125479497,,,,,,125.9723791,,157.2578627,,,39.00888333,356.5217391,,,48.0688172,72.68296814,799.5126496,,,,,,,,,111.711355,,192.2040544,,,45.79303696,0,,,54.20526195,40.39137083,444.3050792,,,,,,,,,202.031174,,157.2578627,,,39.00888333,164,,,95.11489362,65.74128136,723.154095,,,,,,,,,35.65256012,,192.2040544,,,45.79303696,192.5217391,,,7.159185541,47.33305761,520.6636338,,,,,,,,
CRAWFORD,KANSAS,KANSAS_CRAWFORD,2012,1541309952,51.68492881,,55.21055685,,,29.47261158,1.082934783,,,0.275449664,13.77264817,151.4991298,7.573591935,0,7.573591935,,0,,,,33.53311821,,35.82054134,,,19.12179412,0.702606754,,,0.178711403,8.935677182,98.292449,4.913737127,0,4.913737127,0,,,,,258.8582316,,431.3998816,,,118.3282609,534.7826087,,,97.1603752,144.0529358,1584.582294,,,,,,,,,27.39301227,,24.84475058,,,13.55740133,1.082934783,,,0.129461342,6.70075603,73.70831633,1.086831837,0,,,,,,,24.29191654,,30.36580627,,,15.91521025,0,,,0.145988322,7.071892138,77.79081352,6.486760098,0,6.486760098,,,,,,43.93218949,,24.84475058,,,13.55740133,0.49815,,,0.256168187,8.308865958,91.39752554,6.058873548,0,6.058873548,,,,,,7.752739322,,30.36580627,,,15.91521025,0.584784783,,,0.019281476,5.46378221,60.10160431,1.514718387,0,1.514718387,,,,,,7.752739322,,16.1192436,,,8.796025295,0.702606754,,,0.083994359,3.345460933,36.80007026,0.705135158,0,0.705135158,,,,,,15.76056556,,19.70129773,,,10.32576882,0,,,0.094717043,4.588234916,50.47058408,4.208601968,0,4.208601968,,,,,,28.50315047,,29.73104931,,,16.63596088,0.323199107,,,0.166201605,7.535956138,82.89551752,3.930989701,0,3.930989701,,,,,,5.029967731,,6.089492027,,,10.32576882,0.379407647,,,0.012509798,2.183714603,24.02086063,0.982747425,0,0.982747425,,,,,,137.1948627,,194.1299467,,,54.431,534.7826087,,,45.66537634,96.62037945,1062.824174,,,,,,,,,121.6633688,,237.2699349,,,63.89726087,0,,,51.49499886,47.43255635,521.7581198,,,,,,,,,220.0294969,,194.1299467,,,54.431,246,,,90.35914894,80.49495925,885.4445518,,,,,,,,,38.82873474,,237.2699349,,,63.89726087,288.7826087,,,6.801226264,63.55797654,699.137742,,,,,,,,
DECATUR,KANSAS,KANSAS_DECATUR,2012,2315719936,66.97706619,,140.4009543,,,1.63363997,21.16557713,,,11.1318943,24.13091319,265.4400451,,,0,,0,,,,28.92278343,,60.62950539,,,0.705456625,9.139955486,,,4.807098704,10.42047996,114.6252796,,,0,0,,,,,186.8649402,,348.0612681,,,155.1414976,623.9130435,,,227.2757315,154.1256481,1695.382129,,,,,,,,,35.49784508,,63.18042945,,,0.751474386,21.16557713,,,5.231990323,12.58273164,138.410048,,,,,,,,,31.47922111,,77.22052488,,,0.882165584,0,,,5.899903981,11.54818156,127.0299971,,,0,,,,,,56.93050626,,63.18042945,,,0.751474386,9.736165481,,,10.3526617,14.09512373,155.046361,,,0,,,,,,10.04655993,,77.22052488,,,0.882165584,11.42941165,,,0.779232601,10.03578946,110.3936841,,,0,,,,,,10.04655993,,27.28327742,,,0.324510047,9.139955486,,,2.259336391,4.905363928,53.9590032,,,0,,,,,,13.59370821,,33.34622796,,,0.380946577,0,,,2.547762313,4.986864506,54.85550957,,,0,,,,,,24.58436591,,50.32248947,,,0.613747263,4.204379524,,,4.470601795,8.419558396,92.61514236,,,0,,,,,,4.338417514,,10.30701592,,,0.380946577,4.935575963,,,0.336496909,2.029845288,22.32829817,,,0,,,,,,99.0384183,,156.6275706,,,71.36508889,623.9130435,,,106.8195938,105.7763715,1163.540087,,,,,,,,,87.82652189,,191.4336975,,,83.7764087,0,,,120.4561377,48.34927657,531.8420423,,,,,,,,,158.8351992,,156.6275706,,,71.36508889,287,,,211.3664303,88.5194289,973.7137179,,,,,,,,,28.02974103,,191.4336975,,,83.7764087,336.9130435,,,15.9093012,65.60621919,721.6684111,,,,,,,,
DICKINSON,KANSAS,KANSAS_DICKINSON,2012,2206569984,13.75718246,,205.9402328,,,46.81539313,31.9586087,,,29.91977049,32.83911876,361.2303063,0.984139065,0,0.984139065,,0,,,,6.234645878,,93.33047866,,,21.21636452,14.48338776,,,13.55940247,14.88242793,163.7067072,0.446004012,0,0.446004012,0,,,,,268.9161179,,348.7615926,,,147.2529469,475.3623188,,,223.8665955,146.4159572,1610.575529,,,,,,,,,7.291306701,,92.67310476,,,21.53508084,31.9586087,,,14.06229213,16.75203931,184.2724324,0.984139065,0,,,,,,,6.465875754,,113.267128,,,25.28031229,0,,,15.85747836,16.08707944,176.9578739,0,0,0,,,,,,11.69360509,,92.67310476,,,21.53508084,14.70096,,,27.82538655,16.84281372,185.270951,0.787311252,0,0.787311252,,,,,,2.063577368,,113.267128,,,25.28031229,17.2576487,,,2.094383934,15.99630503,175.9593554,0.196827813,0,0.196827813,,,,,,2.063577368,,41.9987154,,,9.759527681,14.48338776,,,6.37291916,7.467812737,82.1459401,0.446004012,0,0.446004012,,,,,,2.930283563,,51.33176326,,,11.45683684,0,,,7.186483308,7.290536698,80.19590368,0,0,0,,,,,,5.299448996,,77.46429729,,,18.45823714,6.662358369,,,12.6102443,12.04945861,132.5440447,0.356803209,0,0.356803209,,,,,,0.935196882,,15.86618137,,,11.45683684,7.82102939,,,0.949158173,3.702840266,40.73124293,0.089200802,0,0.089200802,,,,,,142.5255425,,156.9427167,,,67.73635556,475.3623188,,,105.2172999,94.77842334,1042.562657,,,,,,,,,126.3905754,,191.8188759,,,79.5165913,0,,,118.6492956,51.63753383,568.0128721,,,,,,,,,228.5787002,,156.9427167,,,67.73635556,218.6666667,,,208.1959338,88.01203729,968.1324102,,,,,,,,,40.33741768,,191.8188759,,,79.5165913,256.6956522,,,15.67066168,58.40391988,642.4431186,,,,,,,,
DONIPHAN,KANSAS,KANSAS_DONIPHAN,2012,1031320000,229.8374288,,0.70628216,,,66.83493744,1.684565217,,,0.035458888,29.90986725,329.0085398,1.189524609,0.054065962,1.243590571,,0,,,,222.8575309,,0.684833185,,,64.8052374,1.633406913,,,0.034382043,29.00153905,319.0169295,1.153400117,0.052424041,1.205824158,0,,,,,616.1778764,,280.1297932,,,274.1271377,831.884058,,,321.0269707,232.3345836,2555.68042,,,,,,,,,121.8138373,,0.317826972,,,30.74407122,1.684565217,,,0.016665677,15.45769664,170.034663,0.838657638,0.054065962,,,,,,,108.0235915,,0.388455188,,,36.09086622,0,,,0.018793211,14.45217062,158.9738768,0.350866971,0,0.350866971,,,,,,195.3618145,,0.317826972,,,30.74407122,0.7749,,,0.032976766,22.72315894,249.9547484,0.951619687,0.04271211,0.994331797,,,,,,34.47561432,,0.388455188,,,36.09086622,0.909665217,,,0.002482122,7.186708306,79.05379137,0.237904922,0.011353852,0.249258774,,,,,,34.47561432,,0.308174933,,,29.81040921,1.633406913,,,0.01615956,6.624376493,72.86814142,0.813188572,0.052424041,0.865612613,,,,,,104.7430395,,0.376658252,,,34.9948282,0,,,0.018222483,14.01327485,154.1460233,0.340211545,0,0.340211545,,,,,,189.4289013,,0.568411544,,,56.38055654,0.75136718,,,0.0319753,24.71612119,271.877333,0.922720094,0.041414992,0.964135086,,,,,,33.42862964,,0.116421641,,,34.9948282,0.882039733,,,0.002406743,6.942432595,76.36675855,0.230680023,0.011009049,0.241689072,,,,,,326.5742745,,126.058407,,,126.0984833,831.884058,,,150.8826762,156.1497899,1717.647689,,,,,,,,,289.6036019,,154.0713863,,,148.0286543,0,,,170.1442945,76.1847937,838.0327307,,,,,,,,,523.751195,,126.058407,,,126.0984833,382.6666667,,,298.5550827,145.7129835,1602.842818,,,,,,,,,92.42668147,,154.0713863,,,148.0286543,449.2173913,,,22.47188795,86.62160014,952.8376015,,,,,,,,
DOUGLAS,KANSAS,KANSAS_DOUGLAS,2012,1229170048,21.85081092,,7.629968713,,,16.89550073,1.330332738,,,0.260663329,4.796727643,52.76400407,18.70719997,0.006007329,18.7132073,,0,,,,17.77688202,,6.207415097,,,13.74545431,1.082301623,,,0.212064498,3.902411754,42.92652929,15.21937505,0.004887305,15.22426236,0,,,,,240.8599087,,299.0385543,,,109.7823309,366.4251208,,,168.7522306,118.4858145,1303.34396,,,,,,,,,11.58092979,,3.433485921,,,7.771930335,1.330332738,,,0.122511765,2.423919055,26.6631096,18.66441131,0.006007329,,,,,,,10.26988113,,4.196482792,,,9.123570393,0,,,0.138151564,2.372808588,26.10089447,0.042788655,0,0.042788655,,,,,,18.57318928,,3.433485921,,,7.771930335,0.611953059,,,0.242416896,3.063297549,33.69627304,14.96575997,0.00474579,14.97050576,,,,,,3.277621638,,4.196482792,,,9.123570393,0.718379678,,,0.018246433,1.733430093,19.06773103,3.741439993,0.001261539,3.742701532,,,,,,3.277621638,,2.793336794,,,6.32290898,1.082301623,,,0.099670314,1.357583935,14.93342328,15.18456404,0.004887305,15.18945135,,,,,,8.355134548,,3.414078303,,,7.422545325,0,,,0.112394184,1.930415236,21.2345676,0.034811013,0,0.034811013,,,,,,15.11034971,,5.152154531,,,11.95854525,0.497858747,,,0.197219983,3.291612822,36.20774104,12.17550004,0.003860971,12.17936101,,,,,,2.666532302,,1.055260566,,,7.422545325,0.584442876,,,0.014844515,1.174362559,12.91798814,3.043875011,0.001026334,3.044901345,,,,,,127.6557516,,134.5673494,,,50.49987222,366.4251208,,,79.31354839,75.84616424,834.3078067,,,,,,,,,113.2041571,,164.4712049,,,59.2824587,0,,,89.43868222,42.63965029,469.0361532,,,,,,,,,204.7309224,,134.5673494,,,50.49987222,168.5555556,,,156.9395745,71.52932741,786.8226015,,,,,,,,,36.12898631,,164.4712049,,,59.2824587,197.8695652,,,11.81265614,46.95648712,516.5213584,,,,,,,,
EDWARDS,KANSAS,KANSAS_EDWARDS,2012,1611180032,219.7279985,,132.0820449,,,31.37488628,16.17182609,,,25.79147728,42.5148233,467.6630563,0.008557731,,0.008557731,,0,,,,136.3770616,,81.97845199,,,19.47323431,10.03725578,,,16.00781835,26.3873822,290.2612042,0.005311468,,0.005311468,0,,,,,854.390973,,303.9408257,,,316.1994082,554.589372,,,265.3444165,229.4464995,2523.911495,,,,,,,,,116.4558392,,59.43692021,,,14.43244769,16.17182609,,,12.12199432,21.86190275,240.4809303,0.008557731,,,,,,,,103.2721593,,72.6451247,,,16.94243859,0,,,13.66948296,20.65292055,227.1821261,0,,0,,,,,,186.7687987,,59.43692021,,,14.43244769,7.43904,,,23.98607387,29.20632805,321.2696085,0.006846185,,0.006846185,,,,,,32.95919977,,72.6451247,,,16.94243859,8.732786087,,,1.80540341,13.30849526,146.3934478,0.001711546,,0.001711546,,,,,,32.95919977,,36.8903034,,,8.957687783,10.03725578,,,7.523674625,9.636812136,106.0049335,0.005311468,,0.005311468,,,,,,64.09721895,,45.0881486,,,10.51554653,0,,,8.484143726,12.81850578,141.0035636,0,,0,,,,,,115.9205024,,68.04211516,,,16.94171385,4.617137658,,,14.88727107,22.04087401,242.4496141,0.004249174,,0.004249174,,,,,,20.45655924,,13.93633684,,,10.51554653,5.420118121,,,1.120547285,5.144910801,56.59401881,0.001062294,,0.001062294,,,,,,452.8272157,,136.7733716,,,145.4517278,554.589372,,,124.7118757,141.4353563,1555.788919,,,,,,,,,401.5637573,,167.1674541,,,170.7476804,0,,,140.6325407,88.01114326,968.1225759,,,,,,,,,726.232327,,136.7733716,,,145.4517278,255.1111111,,,246.7703073,151.0338845,1661.372729,,,,,,,,,128.1586459,,167.1674541,,,170.7476804,299.4782609,,,18.57410915,78.41261505,862.5387656,,,,,,,,
ELK,KANSAS,KANSAS_ELK,2012,1685030016,6.148756448,,5.922223959,,,4.464821103,0.794152174,,,0.12101069,1.745096438,19.19606081,5.981853969,0,5.981853969,,0,,,,3.649048616,,3.514610365,,,2.649698261,0.471298533,,,0.071815154,1.035647093,11.39211802,3.549998464,0,3.549998464,0,,,,,253.0352448,,252.1168139,,,84.80192029,356.5217391,,,154.5474974,110.1023216,1211.125537,,,,,,,,,3.258840918,,2.665000782,,,2.053817708,0.794152174,,,0.056875025,0.882868661,9.711555266,5.973296238,0,,,,,,,2.889915531,,3.257223177,,,2.411003396,0,,,0.064135666,0.862227777,9.484505547,0.008557731,0,0.008557731,,,,,,5.226442981,,2.665000782,,,2.053817708,0.36531,,,0.112539942,1.042311141,11.46542255,4.785483175,0,4.785483175,,,,,,0.922313467,,3.257223177,,,2.411003396,0.428842174,,,0.008470748,0.702785296,7.730638259,1.196370794,0,1.196370794,,,,,,0.922313467,,1.581574664,,,1.2188612,0.471298533,,,0.033753122,0.422780099,4.650581085,3.544919783,0,3.544919783,,,,,,1.71505285,,1.933035701,,,1.430837061,0,,,0.038062032,0.511698764,5.628686407,0.005078682,0,0.005078682,,,,,,3.101691324,,2.917126603,,,2.305237487,0.216797325,,,0.066788093,0.860764083,9.468404915,2.839998771,0,2.839998771,,,,,,0.547357292,,0.597483762,,,1.430837061,0.254501208,,,0.005027061,0.283520638,3.118727022,0.709999693,0,0.709999693,,,,,,134.1086797,,113.4525663,,,39.00888333,356.5217391,,,72.63732378,71.57291922,787.3021115,,,,,,,,,118.9265651,,138.6642477,,,45.79303696,0,,,81.91017362,38.52940233,423.8234256,,,,,,,,,215.0799581,,113.4525663,,,39.00888333,164,,,143.7291726,67.52705802,742.7976383,,,,,,,,,37.95528672,,138.6642477,,,45.79303696,192.5217391,,,10.81832482,42.57526353,468.3278988,,,,,,,,
ELLIS,KANSAS,KANSAS_ELLIS,2012,2331950080,1.987148577,,100.3714854,,,1.066694639,8.117404703,,,25.59881165,13.71415449,150.8556994,0.034230924,,0.034230924,,0,,,,0.852140273,,43.04186708,,,0.457426018,3.480951317,,,10.97742695,5.880981163,64.6907928,0.014679098,,0.014679098,0,,,,,268.9161179,,252.1168139,,,106.4954348,425.8454106,,,156.8202547,121.0194032,1331.213435,,,,,,,,,1.053188746,,45.16716842,,,0.490679534,8.117404703,,,12.03144148,6.685988288,73.54587117,0.034230924,,,,,,,,0.933959831,,55.20431696,,,0.576015105,0,,,13.56737018,7.028166207,77.30982828,0,,0,,,,,,1.68907629,,45.16716842,,,0.490679534,3.734006163,,,23.80689484,7.488782524,82.37660777,0.027384739,,0.027384739,,,,,,0.298072287,,55.20431696,,,0.576015105,4.383398539,,,1.791916816,6.22537197,68.47909167,0.006846185,,0.006846185,,,,,,0.298072287,,19.36884018,,,0.210415968,3.480951317,,,5.159390666,2.851767042,31.36943747,0.014679098,,0.014679098,,,,,,0.400505928,,23.67302689,,,0.24701005,0,,,5.818036283,3.013857915,33.15243707,0,,0,,,,,,0.724319232,,35.72474967,,,0.397960636,1.601237606,,,10.20900706,4.865727421,53.52300163,0.011743278,,0.011743278,,,,,,0.127821041,,7.317117403,,,0.24701005,1.879713711,,,0.768419886,1.034008209,11.3740903,0.00293582,,0.00293582,,,,,,142.5255425,,113.4525663,,,48.9879,425.8454106,,,73.70551971,80.45169391,884.968633,,,,,,,,,126.3905754,,138.6642477,,,57.50753478,0,,,83.114735,40.56770928,446.2448021,,,,,,,,,228.5787002,,113.4525663,,,48.9879,195.8888889,,,145.8428369,73.27508922,806.0259815,,,,,,,,,40.33741768,,138.6642477,,,57.50753478,229.9565217,,,10.97741783,47.74431397,525.1874537,,,,,,,,
ELLSWORTH,KANSAS,KANSAS_ELLSWORTH,2012,1873289984,0.917145497,,102.9658619,,,4.923206028,10.11348783,,,24.1691547,14.3088856,157.3977416,,,0,,0,,,,0.489590776,,54.96525515,,,2.628106737,5.398783911,,,12.90198256,7.638371913,84.02209104,,,0,0,,,,,268.9161179,,289.2340115,,,106.4954348,425.8454106,,,221.0256488,131.1516624,1442.668286,,,,,,,,,0.486087113,,46.33463787,,,2.264674773,10.11348783,,,11.35950271,7.055839029,77.61422932,,,,,,,,,0.431058384,,56.63122406,,,2.658531255,0,,,12.80965199,7.253046569,79.78351226,,,0,,,,,,0.779573672,,46.33463787,,,2.264674773,4.6522044,,,22.47731387,7.650840459,84.15924505,,,0,,,,,,0.137571825,,56.63122406,,,2.658531255,5.461283426,,,1.691840829,6.65804514,73.23849654,,,0,,,,,,0.137571825,,24.73436482,,,1.208929099,5.398783911,,,6.063931803,3.754358145,41.2979396,,,0,,,,,,0.230107665,,30.23089033,,,1.419177638,0,,,6.838050756,3.871822639,42.59004903,,,0,,,,,,0.41615216,,45.62116177,,,2.286452862,2.483440599,,,11.99884378,6.280605117,69.08665629,,,0,,,,,,0.073438616,,9.344093375,,,1.419177638,2.915343312,,,0.903138779,1.465519172,16.12071089,,,0,,,,,,142.5255425,,130.1553052,,,48.9879,425.8454106,,,103.882055,85.13962133,936.5358346,,,,,,,,,126.3905754,,159.0787063,,,57.50753478,0,,,117.1435939,46.01204104,506.1324515,,,,,,,,,228.5787002,,130.1553052,,,48.9879,195.8888889,,,205.5538534,80.91646477,890.0811125,,,,,,,,,40.33741768,,159.0787063,,,57.50753478,229.9565217,,,15.47179542,50.2351976,552.5871736,,,,,,,,
FINNEY,KANSAS,KANSAS_FINNEY,2012,3374259968,249.0053409,,148.1534518,,,8.406483383,143.8618696,,,36.34002581,58.57671715,644.3438886,0.359424702,,0.359424702,,0,,,,73.79554132,,43.90694648,,,2.491356168,42.63508767,,,10.76977653,17.35987082,190.958579,0.106519564,,0.106519564,0,,,,,706.6988531,,203.7944246,,,276.7566546,970.531401,,,160.2293907,231.8010724,2549.811796,,,,,,,,,131.9728307,,66.66905332,,,3.866982356,143.8618696,,,17.07981213,36.3450548,399.7956028,0.359424702,,,,,,,,117.0325102,,81.4843985,,,4.539501027,0,,,19.26021368,22.23166234,244.5482858,0,,0,,,,,,211.6545398,,66.66905332,,,3.866982356,66.17646,,,33.796224,38.21632594,420.3795854,0.287539762,,0.287539762,,,,,,37.35080113,,81.4843985,,,4.539501027,77.68540957,,,2.543801806,20.3603912,223.9643032,0.07188494,,0.07188494,,,,,,37.35080113,,19.75812591,,,1.146023837,42.63508767,,,5.061794969,10.59518335,116.5470169,0.106519564,,0.106519564,,,,,,34.68390442,,24.14882056,,,1.345332331,0,,,5.70798156,6.588603887,72.47464276,0,,0,,,,,,62.72621012,,36.44276558,,,2.167479866,19.61214033,,,10.01589217,13.09644881,144.0609369,0.085215652,,0.085215652,,,,,,11.0693312,,7.464180901,,,1.345332331,23.02294734,,,0.753884357,4.365567613,48.02124374,0.021303913,,0.021303913,,,,,,374.5503922,,91.70749106,,,127.3080611,970.531401,,,75.30781362,163.9405159,1803.345675,,,,,,,,,332.148461,,112.0869335,,,149.4485935,0,,,84.92157706,67.8605565,746.4661215,,,,,,,,,600.6940252,,91.70749106,,,127.3080611,446.4444444,,,149.0133333,141.5167355,1556.684091,,,,,,,,,106.004828,,112.0869335,,,149.4485935,524.0869565,,,11.21605735,90.28433688,993.1277057,,,,,,,,
