,,,,,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,gC/m2/yr County Density,,gC/m2/yr County Density,,gC/m2/yr County Density,,gC/m2/yr County Density,,gC/m2/yr County Density,,gC/m2/yr County Density,,gC/m2/yr County Density,,gC/m2/yr County Density,,gC/m2/yr County Density,,gC/m2/yr County Density,,gC/m2/yr County Density,gC/m2/yr ,
County,State,ID,Year,Area m2,Alfalfa,Corn Grain,Corn Silage,Cotton Pima,Cotton Upland,Haylage,Sorghum,Soybeans,Wheat Winter,Wheat Spring Durum,Wheat Excl Duram,Crops Other,Total crops,Hardwood,Softwood,Total Timber,BLM Grazing,USFS Grazing,Grazing Private Land,Total Grazing,Total HANPP Harvest,Alfalfa,Corn Grain,Corn Silage,Cotton Pima,Cotton Upland,Haylage,Sorghum,Soybeans,Wheat Winter,Wheat Spring,Wheat Excl Duram,Crops Other,Total crops,Hardwood,Softwood,Total Timber,USFS Grazing,BLM Grazing,Grazing Private Land,Total Grazing,Total HANPP Harvest,NPP 2012,NPP Percent
ADAMS,WASHINGTON,WASHINGTON_ADAMS,2012,4999589888,63612.39,55636.99,,0,,,0,0,499699.6,,45527.86,,664476.84,,,0,,,,0,664476.84,12.72352161,11.12831077,0,0,0,0,0,0,99.94811798,0,9.106318922,0,132.9062693,,,0,,0,,0,132.9062693,665.495587,19.97
ADAMS,COLORADO,COLORADO_ADAMS,2012,3065240064,11912.28,34863.08,,0,,,2335.089,0,159266.9,,,,208377.349,,,0,,,,0,208377.349,3.886246999,11.37368665,0,0,0,0,0.76179645,0,51.95902986,0,0,0,67.98075996,,,0,,0,,0,67.98075996,470.495061,14.45
ADAMS,NORTH DAKOTA,NORTH DAKOTA_ADAMS,2012,2560770048,24386.09,30249.57,,0,,,0,0,17416.89,10001.9,135607.7,,217662.15,,,0,,,,0,217662.15,9.522951902,11.81268503,0,0,0,0,0,0,6.801426787,3.905817318,52.9558287,0,84.99870973,,,0,12.80812,0,,0,84.99870973,698.863758,12.16
ADAMS,OHIO,OHIO_ADAMS,2012,1517629952,,26769.48,,0,,,0,24639.18,1112.796,,,,52521.456,21822.21405,1249.524456,23071.73851,,,,0,75593.19451,0,17.63900348,0,0,0,0,0,16.23530161,0.73324594,0,0,0,34.60755102,14.37914033,8.23339E-07,14.37914115,,0,,0,49.8100307,541.198401,9.20
ADAMS,WISCONSIN,WISCONSIN_ADAMS,2012,1780569984,8391.707,52137.79,,0,,,0,12960.25,1128.233,,,,74617.98,33717.46014,20112.53787,53829.99801,,,,0,128447.978,4.71293298,29.28151686,0,0,0,0,0,7.278708569,0.633635864,0,0,0,41.90679427,18.93632963,1.12956E-05,18.93634093,,0,,0,72.13868546,878.030243,8.22
ADAMS,IDAHO,IDAHO_ADAMS,2012,3546589952,11230.43,,,0,,,0,0,542.8093,,201.9788,,11975.2181,,48695.4098,48695.4098,888.6176,,,888.6176,61559.2455,3.166543117,0,0,0,0,0,0,0,0.153051045,0,0.056950142,0,3.376544304,,1.37302E-05,1.37302E-05,2.420955,0.250555495,,0.250555495,17.35730556,591.92631,2.93
ADDISON,VERMONT,VERMONT_ADDISON,2012,2091379968,,,,0,,,0,0,,,,,0,16191.22705,5508.720797,21699.94785,,,,0,21699.94785,0,0,0,0,0,0,0,0,0,0,0,0,0,7.74188684,2.63401E-06,7.741889474,,0,,0,10.37589925,519.404265,2.00
AIKEN,SOUTH CAROLINA,SOUTH CAROLINA_AIKEN,2012,2798629888,,4719.925,,0,2947.344,,0,2611.394,3239.27,,,,13517.933,45432.99388,135687.5427,181120.5366,,,,0,194638.4696,0,1.686512754,0,0,1.053138185,0,0,0.933097303,1.157448512,0,0,0,4.830196754,16.23401296,4.84836E-05,16.23406144,,0,,0,69.54777065,474.670873,14.65
AITKIN,MINNESOTA,MINNESOTA_AITKIN,2012,5168090112,5350.565,7815.789,,0,,,0,6053.553,,,,,19219.907,159079.6616,15252.60862,174332.2702,,,,0,193552.1772,1.035307993,1.512316703,0,0,0,0,0,1.171332711,0,0,0,0,3.718957407,30.78113154,2.9513E-06,30.78113449,,0,,0,37.45139365,472.880259,7.92
ALACHUA,FLORIDA,FLORIDA_ALACHUA,2012,2509400064,,,,0,,,0,0,,,,,0,25484.92292,63221.13159,88706.05451,,,,0,88706.05451,0,0,0,0,0,0,0,0,0,0,0,0,0,10.15578316,2.51937E-05,10.15580835,,0,,0,35.34950675,499.729963,7.07
ALAMANCE,NORTH CAROLINA,NORTH CAROLINA_ALAMANCE,2012,1124480000,,3089.405,,0,,,0,5013.898,4683.486,,,,12786.789,35480.35273,10104.32757,45584.6803,,,,0,58371.4693,0,2.747407691,0,0,0,0,0,4.458859206,4.165023833,0,0,0,11.37129073,31.55267566,8.98578E-06,31.55268465,,0,,0,51.90974433,514.084527,10.10
ALAMEDA,CALIFORNIA,CALIFORNIA_ALAMEDA,2012,1944290048,,970.4451,,0,,,0,0,382.1314,,,,1352.5765,,,0,,,,0,1352.5765,0,0.499125684,0,0,0,0,0,0,0.196540326,0,0,0,0.69566601,,,0,,0,,0,0.69566601,413.891814,0.17
ALAMOSA,COLORADO,COLORADO_ALAMOSA,2012,1872940032,72905.58,,,0,,,0,0,,,3184.538,,76090.118,,372.4544051,372.4544051,142.7242,,,142.7242,76605.29661,38.92574175,0,0,0,0,0,0,0,0,0,1.700288288,0,40.62603004,,1.98861E-07,1.98861E-07,2.694457,0.076203294,,0.076203294,40.90109416,230.715205,17.73
ALBANY,NEW YORK,NEW YORK_ALBANY,2012,1381229952,15000.65,6113.804,,0,,,0,0,,,,,21114.454,8266.768146,3622.419456,11889.1876,,,,0,33003.6416,10.86035673,4.426347685,0,0,0,0,0,0,0,0,0,0,15.28670441,5.985077383,2.6226E-06,5.985080006,,0,,0,23.89438598,606.106649,3.94
ALBANY,WYOMING,WYOMING_ALBANY,2012,11159199744,6091.24,,,0,,,0,0,,,,,6091.24,8.557731,4457.438203,4465.995934,4628.651,,,4628.651,15185.88693,0.545849177,0,0,0,0,0,0,0,0,0,0,0,0.545849177,0.000766877,3.99441E-07,0.000767276,3.376521,0.414783417,,0.414783417,1.360840139,198.722723,0.68
ALBEMARLE,VIRGINIA,VIRGINIA_ALBEMARLE,2012,1880310016,,1128.996,,0,,,0,0,123.1631,,,,1252.1591,48847.52855,34812.47222,83660.00077,,,,0,84912.15987,0,0.600430775,0,0,0,0,0,0,0.065501486,0,0,0,0.665932261,25.97844405,1.85142E-05,25.97846256,,0,,0,45.15859574,548.530143,8.23
ALCONA,MICHIGAN,MICHIGAN_ALCONA,2012,1799100032,,5706.389,,0,,,0,1049.81,1149.583,,,,7905.782,30294.36774,8115.901633,38410.26937,,,,0,46316.05137,0,3.171801956,0,0,0,0,0,0.583519527,0.638976699,0,0,0,4.394298182,16.83862331,4.51109E-06,16.83862782,,0,,0,25.7440112,538.556833,4.78
ALCORN,MISSISSIPPI,MISSISSIPPI_ALCORN,2012,1040060032,,14485.34,,0,629.8525,,376.5546,13042.85,1138.419,,,,29673.0161,19588.64626,17210.99791,36799.64417,,,,0,66472.66027,0,13.92740761,0,0,0.605592447,0,0.362050832,12.54047805,1.094570472,0,0,0,28.5300994,18.83414962,1.65481E-05,18.83416617,,0,,0,63.91233027,712.600425,8.97
ALEXANDER,ILLINOIS,ILLINOIS_ALEXANDER,2012,654337984,470.2175,13610.79,,0,,,694.5877,27204.54,7465.194,,,,49445.3292,4424.346927,,4424.346927,,,,0,53869.67613,0.718615626,20.80085572,0,0,0,0,1.061512119,41.57566986,11.40877373,0,0,0,75.56542706,6.761562121,,6.761562121,,0,,0,82.32698918,557.686994,14.76
ALEXANDER,NORTH CAROLINA,NORTH CAROLINA_ALEXANDER,2012,682809984,,1250.396,,0,,,0,2800.434,1480.408,,,,5531.238,22789.23765,8494.363367,31283.60102,,,,0,36814.83902,0,1.831250318,0,0,0,0,0,4.101337218,2.168111238,0,0,0,8.100698774,33.37566554,1.24403E-05,33.37567798,,0,,0,53.91666771,767.895526,7.02
ALEXANDRIA,VIRGINIA,VIRGINIA_ALEXANDRIA,2012,39918300,,,,0,,,0,0,,,,,0,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,,0,0,743.333333,0.00
ALFALFA,OKLAHOMA,OKLAHOMA_ALFALFA,2012,2283040000,32307.55,,,0,,,2921.561,344.6296,269626.9,,,,305200.6406,,,0,,,,0,305200.6406,14.15110992,0,0,0,0,0,1.279680163,0.150952064,118.0999457,0,0,0,133.6816878,,,0,,0,,0,133.6816878,342.817944,38.99
ALGER,MICHIGAN,MICHIGAN_ALGER,2012,2427599872,,606.4912,,0,,,0,0,60.87316,,,,667.36436,75830.05439,27177.15691,103007.2113,,,,0,103674.5757,0,0.249831616,0,0,0,0,0,0,0.02507545,0,0,0,0.274907067,31.23663634,1.11951E-05,31.23664754,,0,,0,42.70661605,515.753642,8.28
ALLAMAKEE,IOWA,IOWA_ALLAMAKEE,2012,1706109952,63660.52,274504,,0,,,0,42281.08,,,,,380445.6,61495.85497,12.01465823,61507.86963,,,,0,441953.4696,37.31325752,160.8946713,0,0,0,0,0,24.78215425,0,0,0,0,222.9900831,36.04448523,7.04214E-09,36.04448524,,0,,0,259.0416105,550.254204,47.08
ALLEGAN,MICHIGAN,MICHIGAN_ALLEGAN,2012,2182289920,,171198.1,,0,,,0,42617.6,11219.93,,,,225035.63,31877.54798,48.05863291,31925.60661,,,,0,256961.2366,0,78.44883415,0,0,0,0,0,19.52884427,5.141356287,0,0,0,103.1190347,14.60738451,2.20221E-08,14.60738453,,0,,0,117.7484413,846.887249,13.90
ALLEGANY,NEW YORK,NEW YORK_ALLEGANY,2012,2678779904,7330.311,33335.74,,0,,,0,1492.073,1136.299,,,,43294.423,74649.08751,7977.733063,82626.82057,,,,0,125921.2436,2.736436461,12.44437438,0,0,0,0,0,0.556997235,0.424185279,0,0,0,16.16199335,27.86682377,2.97812E-06,27.86682675,,0,,0,47.00693901,562.162617,8.36
ALLEGANY,MARYLAND,MARYLAND_ALLEGANY,2012,1108070016,,1673.428,,0,,,0,2024.956,,,,,3698.384,24800.30444,2799.415367,27599.71981,,,,0,31298.10381,0,1.510218647,0,0,0,0,0,1.827462138,0,0,0,0,3.337680784,22.38153192,2.52639E-06,22.38153445,,0,,0,28.24560123,490.763166,5.76
