State,States,COUNTY,County,Species_Group,Growing_Stock,Non_growing_Stock,All_Sources,Growing_Stock,Non_growing_Stock,All_Sources,Growing_Stock,Non_rowing_Stock,All_Sources,Growing_Stock,Non_growing_Stock,All_Sources,Hardwood_Density_lb_ft3,Df,CC,Percentshoot,HANPP_lb_C_perthousand_cubicfeet,TotalHANPP_Harvest_in_Tonnes,HANPP_harvest_used_in_Tonnes,HANPP_Harvest_unused_in_Tonnes,HANPP_Harvest_above_ground_in_Tonnes,HANPP_Harvest_below_ground_in_Tonnes,Stcnty
GA 1997,GEORGIA,WHITE,White,Hardwood,285,69,354,49,29,78,59,29,88,392,128,520,43,0.78,0.45,0.80,18866,4450,3029,1421,3560,890,GEORGIA_WHITE
GA 1997,GEORGIA,WHITFIELD,Whitfield,Hardwood,651,158,809,112,67,179,133,67,200,896,292,"1,188",43,0.78,0.45,0.80,18866,10167,6923,3243,8133,2033,GEORGIA_WHITFIELD
GA 1997,GEORGIA,WILCOX,Wilcox,Hardwood,"1,714",400,"2,114",291,176,467,348,174,522,"2,353",750,"3,103",43,0.78,0.45,0.80,18866,26555,18091,8464,21244,5311,GEORGIA_WILCOX
GA 1997,GEORGIA,WILKES,Wilkes,Hardwood,"5,637","1,523","7,160",986,595,"1,581","1,181",589,"1,770","7,804","2,707","10,511",43,0.78,0.45,0.80,18866,89950,61273,28677,71960,17990,GEORGIA_WILKES
GA 1997,GEORGIA,WILKINSON,Wilkinson,Hardwood,"9,807","2,539","12,346","1,701","1,026","2,727","2,036","1,015","3,051","13,544","4,580","18,124",43,0.78,0.45,0.80,18866,155100,105654,49447,124080,31020,GEORGIA_WILKINSON
GA 1997,GEORGIA,WORTH,Worth,Hardwood,988,264,"1,252",173,104,277,207,103,310,"1,368",471,"1,839",43,0.78,0.45,0.80,18866,15738,10714,5023,12590,3148,GEORGIA_WORTH
IA 1997,IOWA,ADAIR,Adair,Hardwood,5,114,119,0,0,0,0,0,0,5,114,120,43,0.78,0.45,0.80,18866,1027,1018,9,822,205,IOWA_ADAIR
IA 1997,IOWA,ADAMS,Adams,Hardwood,3,65,68,0,0,0,109,60,169,112,126,238,43,0.78,0.45,0.80,18866,2037,582,1455,1629,407,IOWA_ADAMS
IA 1997,IOWA,ALLAMAKEE,Allamakee,Hardwood,"1,268",408,"1,676",346,767,"1,114",711,"1,212","1,923","2,325","2,387","4,713",43,0.78,0.45,0.80,18866,40333,14343,25990,32266,8067,IOWA_ALLAMAKEE
IA 1997,IOWA,APPANOOSE,Appanoose,Hardwood,156,183,340,43,103,146,0,10,10,199,297,495,43,0.78,0.45,0.80,18866,4236,2910,1326,3389,847,IOWA_APPANOOSE
IA 1997,IOWA,AUDUBON,Audubon,Hardwood,4,95,100,0,0,0,0,0,0,4,95,100,43,0.78,0.45,0.80,18866,856,856,0,685,171,IOWA_AUDUBON
IA 1997,IOWA,BENTON,Benton,Hardwood,99,204,304,23,58,82,0,0,0,123,263,385,43,0.78,0.45,0.80,18866,3295,2602,693,2636,659,IOWA_BENTON
IA 1997,IOWA,BLACK HAWK,Black Hawk,Hardwood,56,992,"1,048",5,12,17,0,0,0,61,"1,003","1,065",43,0.78,0.45,0.80,18866,9114,8969,145,7291,1823,IOWA_BLACK HAWK
IA 1997,IOWA,BOONE,Boone,Hardwood,134,272,406,37,90,127,0,0,0,172,362,533,43,0.78,0.45,0.80,18866,4561,3474,1087,3649,912,IOWA_BOONE
IA 1997,IOWA,BREMER,Bremer,Hardwood,102,206,308,30,69,98,122,50,171,253,325,578,43,0.78,0.45,0.80,18866,4946,2636,2311,3957,989,IOWA_BREMER
IA 1997,IOWA,BUCHANAN,Buchanan,Hardwood,43,175,218,10,23,33,227,259,485,280,457,736,43,0.78,0.45,0.80,18866,6298,1866,4433,5039,1260,IOWA_BUCHANAN
IA 1997,IOWA,BUENA VISTA,Buena Vista,Hardwood,11,239,250,0,0,0,0,0,0,11,239,250,43,0.78,0.45,0.80,18866,2139,2139,0,1712,428,IOWA_BUENA VISTA
IA 1997,IOWA,BUTLER,Butler,Hardwood,46,141,187,12,29,41,161,171,331,219,340,560,43,0.78,0.45,0.80,18866,4792,1600,3192,3834,958,IOWA_BUTLER
IA 1997,IOWA,CALHOUN,Calhoun,Hardwood,8,144,152,0,0,0,0,0,0,8,144,152,43,0.78,0.45,0.80,18866,1301,1301,0,1041,260,IOWA_CALHOUN
IA 1997,IOWA,CARROLL,Carroll,Hardwood,14,254,267,0,0,0,0,0,0,14,254,267,43,0.78,0.45,0.80,18866,2285,2285,0,1828,457,IOWA_CARROLL
IA 1997,IOWA,CASS,Cass,Hardwood,17,221,238,1,4,6,0,0,0,18,226,244,43,0.78,0.45,0.80,18866,2088,2037,51,1670,418,IOWA_CASS
IA 1997,IOWA,CEDAR,Cedar,Hardwood,132,190,322,33,80,113,0,0,0,165,270,435,43,0.78,0.45,0.80,18866,3723,2756,967,2978,745,IOWA_CEDAR
IA 1997,IOWA,CERRO GORDO,Cerro Gordo,Hardwood,24,607,631,0,1,1,0,0,0,25,607,632,43,0.78,0.45,0.80,18866,5408,5400,9,4327,1082,IOWA_CERRO GORDO
IA 1997,IOWA,CHEROKEE,Cherokee,Hardwood,9,182,190,0,0,0,98,99,197,107,281,388,43,0.78,0.45,0.80,18866,3320,1626,1694,2656,664,IOWA_CHEROKEE
IA 1997,IOWA,CHICKASAW,Chickasaw,Hardwood,70,125,195,19,44,63,219,161,381,308,330,638,43,0.78,0.45,0.80,18866,5460,1669,3791,4368,1092,IOWA_CHICKASAW
IA 1997,IOWA,CLARKE,Clarke,Hardwood,58,92,150,12,33,45,0,0,0,70,125,195,43,0.78,0.45,0.80,18866,1669,1284,385,1335,334,IOWA_CLARKE
IA 1997,IOWA,CLAY,Clay,Hardwood,11,236,247,0,0,0,0,0,0,11,236,247,43,0.78,0.45,0.80,18866,2114,2114,0,1691,423,IOWA_CLAY
IA 1997,IOWA,CLAYTON,Clayton,Hardwood,"1,592",574,"2,166",444,"1,019","1,463",89,132,221,"2,125","1,726","3,851",43,0.78,0.45,0.80,18866,32956,18536,14420,26365,6591,IOWA_CLAYTON
IA 1997,IOWA,CLINTON,Clinton,Hardwood,56,437,492,11,26,37,0,0,0,67,462,529,43,0.78,0.45,0.80,18866,4527,4210,317,3622,905,IOWA_CLINTON
IA 1997,IOWA,CRAWFORD,Crawford,Hardwood,14,214,228,1,3,3,45,58,103,60,274,334,43,0.78,0.45,0.80,18866,2858,1951,907,2287,572,IOWA_CRAWFORD
IA 1997,IOWA,DALLAS,Dallas,Hardwood,52,299,351,11,28,40,0,0,0,63,327,391,43,0.78,0.45,0.80,18866,3346,3004,342,2677,669,IOWA_DALLAS
IA 1997,IOWA,DAVIS,Davis,Hardwood,147,114,261,38,93,131,0,0,0,185,207,392,43,0.78,0.45,0.80,18866,3355,2234,1121,2684,671,IOWA_DAVIS
IA 1997,IOWA,DECATUR,Decatur,Hardwood,27,84,112,4,11,16,814,611,"1,426",846,707,"1,553",43,0.78,0.45,0.80,18866,13290,958,12332,10632,2658,IOWA_DECATUR
IA 1997,IOWA,DELAWARE,Delaware,Hardwood,346,250,597,95,222,317,0,0,0,441,473,913,43,0.78,0.45,0.80,18866,7813,5109,2704,6251,1563,IOWA_DELAWARE
IA 1997,IOWA,DES MOINES,Des Moines,Hardwood,293,516,809,69,163,233,0,0,0,362,679,"1,041",43,0.78,0.45,0.80,18866,8909,6923,1985,7127,1782,IOWA_DES MOINES
IA 1997,IOWA,DICKINSON,Dickinson,Hardwood,8,195,203,0,0,0,0,0,0,8,195,203,43,0.78,0.45,0.80,18866,1737,1737,0,1390,347,IOWA_DICKINSON
IA 1997,IOWA,DUBUQUE,Dubuque,Hardwood,809,829,"1,639",86,214,300,0,22,22,896,"1,065","1,961",43,0.78,0.45,0.80,18866,16782,14026,2756,13425,3356,IOWA_DUBUQUE
IA 1997,IOWA,EMMET,Emmet,Hardwood,8,151,159,0,0,1,0,0,0,8,152,159,43,0.78,0.45,0.80,18866,1361,1361,0,1089,272,IOWA_EMMET
IA 1997,IOWA,FAYETTE,Fayette,Hardwood,632,362,994,176,413,589,150,330,480,958,"1,105","2,064",43,0.78,0.45,0.80,18866,17663,8506,9157,14131,3533,IOWA_FAYETTE
IA 1997,IOWA,FLOYD,Floyd,Hardwood,32,154,186,8,18,25,0,0,0,39,171,211,43,0.78,0.45,0.80,18866,1806,1592,214,1445,361,IOWA_FLOYD
IA 1997,IOWA,FRANKLIN,Franklin,Hardwood,31,162,193,6,14,19,0,0,0,37,175,212,43,0.78,0.45,0.80,18866,1814,1652,163,1451,363,IOWA_FRANKLIN
IA 1997,IOWA,FREMONT,Fremont,Hardwood,16,116,131,3,6,9,376,248,624,394,370,764,43,0.78,0.45,0.80,18866,6538,1121,5417,5230,1308,IOWA_FREMONT
IA 1997,IOWA,GREENE,Greene,Hardwood,31,151,182,8,19,27,0,0,0,39,171,209,43,0.78,0.45,0.80,18866,1789,1558,231,1431,358,IOWA_GREENE
IA 1997,IOWA,GRUNDY,Grundy,Hardwood,7,112,119,1,2,2,0,0,0,8,113,121,43,0.78,0.45,0.80,18866,1035,1018,17,828,207,IOWA_GRUNDY
IA 1997,IOWA,GUTHRIE,Guthrie,Hardwood,11,111,123,1,3,4,81,129,210,93,244,337,43,0.78,0.45,0.80,18866,2884,1053,1831,2307,577,IOWA_GUTHRIE
IA 1997,IOWA,HAMILTON,Hamilton,Hardwood,43,172,215,10,25,36,0,0,0,53,197,251,43,0.78,0.45,0.80,18866,2148,1840,308,1718,430,IOWA_HAMILTON
IA 1997,IOWA,HANCOCK,Hancock,Hardwood,8,170,177,0,0,0,0,0,0,8,170,177,43,0.78,0.45,0.80,18866,1515,1515,0,1212,303,IOWA_HANCOCK
IA 1997,IOWA,HARDIN,Hardin,Hardwood,42,206,248,10,24,34,103,272,375,155,502,657,43,0.78,0.45,0.80,18866,5622,2122,3500,4498,1124,IOWA_HARDIN
IA 1997,IOWA,HARRISON,Harrison,Hardwood,513,254,766,95,286,380,0,62,62,607,601,"1,209",43,0.78,0.45,0.80,18866,10346,6555,3791,8277,2069,IOWA_HARRISON
IA 1997,IOWA,HENRY,Henry,Hardwood,413,275,688,102,253,356,28,28,55,543,556,"1,099",43,0.78,0.45,0.80,18866,9405,5888,3517,7524,1881,IOWA_HENRY
IA 1997,IOWA,HOWARD,Howard,Hardwood,80,100,180,21,49,70,0,0,0,101,149,250,43,0.78,0.45,0.80,18866,2139,1540,599,1712,428,IOWA_HOWARD
IA 1997,IOWA,HUMBOLDT,Humboldt,Hardwood,25,157,182,4,11,15,0,0,0,29,168,196,43,0.78,0.45,0.80,18866,1677,1558,120,1342,335,IOWA_HUMBOLDT
IA 1997,IOWA,IDA,Ida,Hardwood,5,106,111,0,0,0,0,0,0,5,106,111,43,0.78,0.45,0.80,18866,950,950,0,760,190,IOWA_IDA
IA 1997,IOWA,IOWA,Iowa,Hardwood,237,215,452,64,161,225,22,86,107,323,461,784,43,0.78,0.45,0.80,18866,6709,3868,2841,5367,1342,IOWA_IOWA
IA 1997,IOWA,JACKSON,Jackson,Hardwood,166,205,371,45,101,146,697,492,"1,189",909,797,"1,706",43,0.78,0.45,0.80,18866,14599,3175,11425,11680,2920,IOWA_JACKSON
IA 1997,IOWA,JASPER,Jasper,Hardwood,66,357,423,14,37,51,0,0,0,80,394,474,43,0.78,0.45,0.80,18866,4056,3620,436,3245,811,IOWA_JASPER
IA 1997,IOWA,JEFFERSON,Jefferson,Hardwood,201,212,413,56,137,193,183,210,394,441,559,"1,000",43,0.78,0.45,0.80,18866,8558,3534,5023,6846,1712,IOWA_JEFFERSON
IA 1997,IOWA,JOHNSON,Johnson,Hardwood,206,730,936,44,112,155,104,165,269,353,"1,007","1,360",43,0.78,0.45,0.80,18866,11639,8010,3628,9311,2328,IOWA_JOHNSON
IA 1997,IOWA,JONES,Jones,Hardwood,179,208,388,45,107,152,0,0,0,224,315,539,43,0.78,0.45,0.80,18866,4613,3320,1292,3690,923,IOWA_JONES
IA 1997,IOWA,KEOKUK,Keokuk,Hardwood,497,235,732,135,333,468,0,0,0,632,569,"1,200",43,0.78,0.45,0.80,18866,10269,6264,4005,8215,2054,IOWA_KEOKUK
IA 1997,IOWA,KOSSUTH,Kossuth,Hardwood,86,251,336,14,42,56,0,0,0,100,293,392,43,0.78,0.45,0.80,18866,3355,2875,479,2684,671,IOWA_KOSSUTH
IA 1997,IOWA,LEE,Lee,Hardwood,854,642,"1,495",243,582,825,240,103,343,"1,336","1,328","2,664",43,0.78,0.45,0.80,18866,22798,12794,10004,18238,4560,IOWA_LEE
IA 1997,IOWA,LINN,Linn,Hardwood,186,"1,418","1,604",38,88,126,135,364,499,359,"1,870","2,229",43,0.78,0.45,0.80,18866,19075,13727,5349,15260,3815,IOWA_LINN
IA 1997,IOWA,LOUISA,Louisa,Hardwood,210,168,378,44,102,146,0,0,0,254,270,524,43,0.78,0.45,0.80,18866,4484,3235,1249,3587,897,IOWA_LOUISA
IA 1997,IOWA,LUCAS,Lucas,Hardwood,74,120,194,18,45,63,183,242,425,276,406,682,43,0.78,0.45,0.80,18866,5836,1660,4176,4669,1167,IOWA_LUCAS
IA 1997,IOWA,LYON,Lyon,Hardwood,9,136,146,1,2,2,0,0,0,10,138,148,43,0.78,0.45,0.80,18866,1267,1249,17,1013,253,IOWA_LYON
IA 1997,IOWA,MADISON,Madison,Hardwood,7,110,117,0,0,0,232,490,722,239,600,838,43,0.78,0.45,0.80,18866,7171,1001,6170,5737,1434,IOWA_MADISON
IA 1997,IOWA,MAHASKA,Mahaska,Hardwood,264,274,538,73,177,250,359,177,537,696,629,"1,325",43,0.78,0.45,0.80,18866,11339,4604,6735,9071,2268,IOWA_MAHASKA
IA 1997,IOWA,MARION,Marion,Hardwood,156,293,449,37,93,130,0,0,0,193,386,579,43,0.78,0.45,0.80,18866,4955,3842,1113,3964,991,IOWA_MARION
IA 1997,IOWA,MARSHALL,Marshall,Hardwood,64,395,459,14,34,47,0,0,0,78,429,506,43,0.78,0.45,0.80,18866,4330,3928,402,3464,866,IOWA_MARSHALL
IA 1997,IOWA,MILLS,Mills,Hardwood,37,160,197,4,12,16,0,97,97,41,269,310,43,0.78,0.45,0.80,18866,2653,1686,967,2122,531,IOWA_MILLS
IA 1997,IOWA,MITCHELL,Mitchell,Hardwood,7,93,100,1,2,3,0,0,0,7,95,102,43,0.78,0.45,0.80,18866,873,856,17,698,175,IOWA_MITCHELL
IA 1997,IOWA,MONONA,Monona,Hardwood,98,148,246,16,50,67,0,0,0,114,198,313,43,0.78,0.45,0.80,18866,2679,2105,573,2143,536,IOWA_MONONA
IA 1997,IOWA,MONROE,Monroe,Hardwood,147,113,260,35,88,123,193,172,365,375,373,748,43,0.78,0.45,0.80,18866,6401,2225,4176,5121,1280,IOWA_MONROE
IA 1997,IOWA,MONTGOMERY,Montgomery,Hardwood,16,181,197,1,5,6,0,0,0,17,186,203,43,0.78,0.45,0.80,18866,1737,1686,51,1390,347,IOWA_MONTGOMERY
IA 1997,IOWA,MUSCATINE,Muscatine,Hardwood,269,420,690,70,170,240,229,171,401,568,762,"1,330",43,0.78,0.45,0.80,18866,11382,5905,5477,9105,2276,IOWA_MUSCATINE
IA 1997,IOWA,O'BRIEN,O'Brien,Hardwood,10,190,200,0,0,0,0,0,0,10,190,200,43,0.78,0.45,0.80,18866,1712,1712,0,1369,342,IOWA_O'BRIEN
IA 1997,IOWA,OSCEOLA,Osceola,Hardwood,4,97,101,0,0,0,0,0,0,4,97,101,43,0.78,0.45,0.80,18866,864,864,0,691,173,IOWA_OSCEOLA
IA 1997,IOWA,PAGE,Page,Hardwood,13,232,245,1,2,2,0,0,0,13,234,247,43,0.78,0.45,0.80,18866,2114,2097,17,1691,423,IOWA_PAGE
IA 1997,IOWA,PALO ALTO,Palo Alto,Hardwood,7,142,149,0,0,0,0,0,0,7,142,149,43,0.78,0.45,0.80,18866,1275,1275,0,1020,255,IOWA_PALO ALTO
IA 1997,IOWA,PLYMOUTH,Plymouth,Hardwood,86,280,366,13,41,54,0,0,0,100,320,420,43,0.78,0.45,0.80,18866,3594,3132,462,2875,719,IOWA_PLYMOUTH
IA 1997,IOWA,POCAHONTAS,Pocahontas,Hardwood,6,125,130,0,0,0,0,0,0,6,125,131,43,0.78,0.45,0.80,18866,1121,1113,9,897,224,IOWA_POCAHONTAS
IA 1997,IOWA,POLK,Polk,Hardwood,162,"3,109","3,271",14,32,45,0,0,0,175,"3,141","3,316",43,0.78,0.45,0.80,18866,28377,27992,385,22702,5675,IOWA_POLK
IA 1997,IOWA,POTTAWATTAMIE,Pottawattamie,Hardwood,81,"1,043","1,124",11,28,39,0,0,0,92,"1,071","1,163",43,0.78,0.45,0.80,18866,9953,9619,334,7962,1991,IOWA_POTTAWATTAMIE
IA 1997,IOWA,POWESHIEK,Poweshiek,Hardwood,104,188,292,22,55,76,55,83,139,181,326,507,43,0.78,0.45,0.80,18866,4339,2499,1840,3471,868,IOWA_POWESHIEK
IA 1997,IOWA,RINGGOLD,Ringgold,Hardwood,10,76,86,2,4,6,265,153,418,277,233,510,43,0.78,0.45,0.80,18866,4364,736,3628,3492,873,IOWA_RINGGOLD
IA 1997,IOWA,SAC,Sac,Hardwood,8,163,171,0,0,0,0,0,0,8,163,171,43,0.78,0.45,0.80,18866,1463,1463,0,1171,293,IOWA_SAC
IA 1997,IOWA,SCOTT,Scott,Hardwood,208,"1,316","1,524",42,103,145,94,143,237,344,"1,562","1,906",43,0.78,0.45,0.80,18866,16311,13042,3269,13049,3262,IOWA_SCOTT
IA 1997,IOWA,SHELBY,Shelby,Hardwood,15,181,196,1,4,6,0,0,0,16,186,202,43,0.78,0.45,0.80,18866,1729,1677,51,1383,346,IOWA_SHELBY
IA 1997,IOWA,SIOUX,Sioux,Hardwood,20,322,342,1,2,2,0,0,0,20,324,344,43,0.78,0.45,0.80,18866,2944,2927,17,2355,589,IOWA_SIOUX
IA 1997,IOWA,STORY,Story,Hardwood,33,619,652,2,5,7,0,0,0,35,624,659,43,0.78,0.45,0.80,18866,5640,5580,60,4512,1128,IOWA_STORY
IA 1997,IOWA,TAMA,Tama,Hardwood,316,231,547,97,233,330,0,0,0,413,463,876,43,0.78,0.45,0.80,18866,7497,4681,2815,5997,1499,IOWA_TAMA
IA 1997,IOWA,TAYLOR,Taylor,Hardwood,7,100,107,1,1,2,203,226,429,210,328,537,43,0.78,0.45,0.80,18866,4596,916,3680,3676,919,IOWA_TAYLOR
IA 1997,IOWA,UNION,Union,Hardwood,10,165,174,0,2,2,80,67,147,90,233,323,43,0.78,0.45,0.80,18866,2764,1489,1275,2211,553,IOWA_UNION
IA 1997,IOWA,VAN BUREN,Van Buren,Hardwood,220,131,351,58,139,197,0,0,0,278,270,548,43,0.78,0.45,0.80,18866,4690,3004,1686,3752,938,IOWA_VAN BUREN
IA 1997,IOWA,WAPELLO,Wapello,Hardwood,261,436,697,66,162,229,0,0,0,327,599,926,43,0.78,0.45,0.80,18866,7924,5965,1960,6340,1585,IOWA_WAPELLO
IA 1997,IOWA,WARREN,Warren,Hardwood,45,324,369,8,21,28,218,431,649,271,775,"1,046",43,0.78,0.45,0.80,18866,8951,3158,5794,7161,1790,IOWA_WARREN
IA 1997,IOWA,WASHINGTON,Washington,Hardwood,282,264,546,77,191,268,125,573,697,484,"1,028","1,511",43,0.78,0.45,0.80,18866,12931,4673,8258,10345,2586,IOWA_WASHINGTON
IA 1997,IOWA,WAYNE,Wayne,Hardwood,66,98,164,17,41,58,0,0,0,83,139,222,43,0.78,0.45,0.80,18866,1900,1403,496,1520,380,IOWA_WAYNE
IA 1997,IOWA,WEBSTER,Webster,Hardwood,96,429,525,24,56,80,0,0,0,120,485,605,43,0.78,0.45,0.80,18866,5177,4493,685,4142,1035,IOWA_WEBSTER
IA 1997,IOWA,WINNEBAGO,Winnebago,Hardwood,8,157,166,0,0,1,0,0,0,9,158,166,43,0.78,0.45,0.80,18866,1421,1421,0,1136,284,IOWA_WINNEBAGO
IA 1997,IOWA,WINNESHIEK,Winneshiek,Hardwood,449,246,695,121,264,384,213,193,406,784,702,"1,486",43,0.78,0.45,0.80,18866,12717,5948,6769,10173,2543,IOWA_WINNESHIEK
IA 1997,IOWA,WOODBURY,Woodbury,Hardwood,124,"1,188","1,311",13,41,54,628,434,"1,061",765,"1,662","2,427",43,0.78,0.45,0.80,18866,20770,11219,9550,16616,4154,IOWA_WOODBURY
IA 1997,IOWA,WORTH,Worth,Hardwood,19,108,127,3,9,12,0,0,0,22,117,139,43,0.78,0.45,0.80,18866,1190,1087,103,952,238,IOWA_WORTH
IA 1997,IOWA,WRIGHT,Wright,Hardwood,12,194,206,1,2,2,0,0,0,12,196,209,43,0.78,0.45,0.80,18866,1789,1763,26,1431,358,IOWA_WRIGHT
ID 1997,IDAHO,ADA,Ada,Hardwood,7,425,432,0,24,24,0,0,0,7,449,456,43,0.78,0.45,0.80,18866,3902,3697,205,3122,780,IDAHO_ADA
ID 1997,IDAHO,ADAMS,Adams,Hardwood,16,0,17,2,3,5,0,0,0,18,4,22,43,0.78,0.45,0.80,18866,188,145,43,151,38,IDAHO_ADAMS
ID 1997,IDAHO,BANNOCK,Bannock,Hardwood,2,0,2,0,0,0,0,0,0,2,0,2,43,0.78,0.45,0.80,18866,17,17,0,14,3,IDAHO_BANNOCK
ID 1997,IDAHO,BONNER,Bonner,Hardwood,839,9,847,60,146,206,0,0,0,899,155,"1,054",43,0.78,0.45,0.80,18866,9020,7248,1771,7216,1804,IDAHO_BONNER
ID 1997,IDAHO,BOUNDARY,Boundary,Hardwood,30,10,40,3,6,9,0,0,0,32,16,49,43,0.78,0.45,0.80,18866,419,342,77,335,84,IDAHO_BOUNDARY
ID 1997,IDAHO,CANYON,Canyon,Hardwood,4,356,360,0,13,13,0,0,0,4,369,373,43,0.78,0.45,0.80,18866,3192,3081,111,2554,638,IDAHO_CANYON
ID 1997,IDAHO,CARIBOU,Caribou,Hardwood,0,72,72,0,0,0,0,0,0,0,72,72,43,0.78,0.45,0.80,18866,616,616,0,493,123,IDAHO_CARIBOU
ID 1997,IDAHO,FREMONT,Fremont,Hardwood,0,9,9,0,0,0,0,0,0,0,9,9,43,0.78,0.45,0.80,18866,77,77,0,62,15,IDAHO_FREMONT
ID 1997,IDAHO,GEM,Gem,Hardwood,0,144,144,0,0,0,0,0,0,0,144,144,43,0.78,0.45,0.80,18866,1232,1232,0,986,246,IDAHO_GEM
ID 1997,IDAHO,GOODING,Gooding,Hardwood,11,421,432,0,36,36,0,0,0,11,457,468,43,0.78,0.45,0.80,18866,4005,3697,308,3204,801,IDAHO_GOODING
ID 1997,IDAHO,IDAHO,Idaho,Hardwood,16,0,16,2,3,5,0,0,0,17,4,21,43,0.78,0.45,0.80,18866,180,137,43,144,36,IDAHO_IDAHO
ID 1997,IDAHO,KOOTENAI,Kootenai,Hardwood,"1,732",16,"1,749",166,350,516,0,0,0,"1,898",367,"2,265",43,0.78,0.45,0.80,18866,19383,14967,4416,15507,3877,IDAHO_KOOTENAI
ID 1997,IDAHO,LINCOLN,Lincoln,Hardwood,0,144,144,0,0,0,0,0,0,0,144,144,43,0.78,0.45,0.80,18866,1232,1232,0,986,246,IDAHO_LINCOLN
ID 1997,IDAHO,OWYHEE,Owyhee,Hardwood,55,89,144,0,10,10,0,0,0,55,99,154,43,0.78,0.45,0.80,18866,1318,1232,86,1054,264,IDAHO_OWYHEE
ID 1997,IDAHO,SHOSHONE,Shoshone,Hardwood,"2,215",20,"2,235",212,448,660,0,0,0,"2,427",468,"2,895",43,0.78,0.45,0.80,18866,24775,19127,5648,19820,4955,IDAHO_SHOSHONE
ID 1997,IDAHO,VALLEY,Valley,Hardwood,21,0,21,2,4,6,0,0,0,23,5,27,43,0.78,0.45,0.80,18866,231,180,51,185,46,IDAHO_VALLEY
IL 1997,ILLINOIS,ADAMS,Adams,Hardwood,692,644,"1,336",176,365,541,910,628,"1,538","1,779","1,637","3,415",43,0.78,0.45,0.80,18866,29225,11433,17792,23380,5845,ILLINOIS_ADAMS
IL 1997,ILLINOIS,ALEXANDER,Alexander,Hardwood,"1,782",364,"2,146",315,708,"1,023","1,108",759,"1,866","3,204","1,831","5,034",43,0.78,0.45,0.80,18866,43080,18365,24715,34464,8616,ILLINOIS_ALEXANDER
IL 1997,ILLINOIS,BOND,Bond,Hardwood,324,195,519,65,151,216,354,246,600,743,591,"1,335",43,0.78,0.45,0.80,18866,11425,4441,6983,9140,2285,ILLINOIS_BOND
IL 1997,ILLINOIS,BOONE,Boone,Hardwood,37,163,200,11,22,33,111,77,188,159,262,421,43,0.78,0.45,0.80,18866,3603,1712,1891,2882,721,ILLINOIS_BOONE
IL 1997,ILLINOIS,BROWN,Brown,Hardwood,794,118,912,211,473,685,142,98,239,"1,147",689,"1,836",43,0.78,0.45,0.80,18866,15712,7805,7907,12570,3142,ILLINOIS_BROWN
IL 1997,ILLINOIS,BUREAU,Bureau,Hardwood,21,110,131,5,11,16,354,244,598,380,365,744,43,0.78,0.45,0.80,18866,6367,1121,5246,5094,1273,ILLINOIS_BUREAU
IL 1997,ILLINOIS,CALHOUN,Calhoun,Hardwood,857,99,957,229,459,688,0,0,0,"1,086",559,"1,645",43,0.78,0.45,0.80,18866,14077,8190,5888,11262,2815,ILLINOIS_CALHOUN
IL 1997,ILLINOIS,CARROLL,Carroll,Hardwood,86,43,129,21,43,64,40,28,68,148,114,261,43,0.78,0.45,0.80,18866,2234,1104,1130,1787,447,ILLINOIS_CARROLL
IL 1997,ILLINOIS,CASS,Cass,Hardwood,420,88,508,96,254,350,526,363,889,"1,042",705,"1,747",43,0.78,0.45,0.80,18866,14950,4347,10603,11960,2990,ILLINOIS_CASS
IL 1997,ILLINOIS,CHAMPAIGN,Champaign,Hardwood,15,323,338,4,9,13,71,49,120,90,380,471,43,0.78,0.45,0.80,18866,4031,2893,1138,3225,806,ILLINOIS_CHAMPAIGN
IL 1997,ILLINOIS,CHRISTIAN,Christian,Hardwood,21,189,210,3,7,9,0,0,0,24,196,220,43,0.78,0.45,0.80,18866,1883,1797,86,1506,377,ILLINOIS_CHRISTIAN
IL 1997,ILLINOIS,CLARK,Clark,Hardwood,260,585,845,2,7,10,347,241,588,609,834,"1,443",43,0.78,0.45,0.80,18866,12349,7231,5118,9879,2470,ILLINOIS_CLARK
IL 1997,ILLINOIS,CLAY,Clay,Hardwood,"1,117",159,"1,276",325,679,"1,004",0,0,0,"1,443",838,"2,280",43,0.78,0.45,0.80,18866,19512,10920,8592,15609,3902,ILLINOIS_CLAY
IL 1997,ILLINOIS,CLINTON,Clinton,Hardwood,"1,156",265,"1,421",334,697,"1,031",517,359,877,"2,007","1,322","3,329",43,0.78,0.45,0.80,18866,28489,12161,16328,22791,5698,ILLINOIS_CLINTON
IL 1997,ILLINOIS,COLES,Coles,Hardwood,249,141,390,64,133,197,71,49,120,384,323,707,43,0.78,0.45,0.80,18866,6050,3338,2713,4840,1210,ILLINOIS_COLES
IL 1997,ILLINOIS,COOK,Cook,Hardwood,454,"5,127","5,580",40,86,126,61,42,103,554,"5,255","5,809",43,0.78,0.45,0.80,18866,49712,47752,1960,39769,9942,ILLINOIS_COOK
IL 1997,ILLINOIS,CRAWFORD,Crawford,Hardwood,301,541,841,35,78,112,0,0,0,335,618,954,43,0.78,0.45,0.80,18866,8164,7197,967,6531,1633,ILLINOIS_CRAWFORD
IL 1997,ILLINOIS,CUMBERLAND,Cumberland,Hardwood,410,216,626,105,214,319,238,166,404,753,596,"1,349",43,0.78,0.45,0.80,18866,11544,5357,6187,9236,2309,ILLINOIS_CUMBERLAND
