State,States,COUNTY,County,Species_Group,Growing_Stock,Non_growing_Stock,All_Sources,Growing_Stock,Non_growing_Stock,All_Sources,Growing_Stock,Non_rowing_Stock,All_Sources,Growing_Stock,Non_growing_Stock,All_Sources,Hardwood_Density_lb_ft3,Df,CC,Percentshoot,HANPP_lb_C_perthousand_cubicfeet,TotalHANPP_Harvest_in_Tonnes,HANPP_harvest_used_in_Tonnes,HANPP_Harvest_unused_in_Tonnes,HANPP_Harvest_above_ground_in_Tonnes,HANPP_Harvest_below_ground_in_Tonnes,Stcnty
AL 1997,ALABAMA,ELMORE,Elmore,Hardwood,"4,176","1,151","5,327",649,230,879,292,159,451,"5,116","1,541","6,657",43,0.78,0.45,0.80,18866,56969,45587,11382,45575,11394,ALABAMA_ELMORE
AL 1997,ALABAMA,ESCAMBIA,Escambia,Hardwood,"3,291",940,"4,231",515,183,698,231,127,358,"4,038","1,249","5,287",43,0.78,0.45,0.80,18866,45245,36208,9037,36196,9049,ALABAMA_ESCAMBIA
AL 1997,ALABAMA,ETOWAH,Etowah,Hardwood,"3,692","1,020","4,712",574,203,777,258,141,399,"4,524","1,364","5,888",43,0.78,0.45,0.80,18866,50388,40324,10064,40310,10078,ALABAMA_ETOWAH
AL 1997,ALABAMA,FAYETTE,Fayette,Hardwood,"6,788","1,830","8,618","1,049",372,"1,421",472,258,730,"8,310","2,459","10,769",43,0.78,0.45,0.80,18866,92158,73751,18408,73727,18432,ALABAMA_FAYETTE
AL 1997,ALABAMA,FRANKLIN,Franklin,Hardwood,"4,610","1,339","5,949",724,257,981,326,178,504,"5,660","1,774","7,434",43,0.78,0.45,0.80,18866,63618,50910,12708,50895,12724,ALABAMA_FRANKLIN
AL 1997,ALABAMA,GENEVA,Geneva,Hardwood,"1,831",543,"2,374",289,103,392,130,71,201,"2,250",717,"2,967",43,0.78,0.45,0.80,18866,25391,20316,5075,20313,5078,ALABAMA_GENEVA
AL 1997,ALABAMA,GREENE,Greene,Hardwood,"6,062","1,640","7,702",938,332,"1,270",422,230,652,"7,421","2,203","9,624",43,0.78,0.45,0.80,18866,82360,65912,16448,65888,16472,ALABAMA_GREENE
AL 1997,ALABAMA,HALE,Hale,Hardwood,"3,087",851,"3,938",480,170,650,215,118,333,"3,782","1,139","4,921",43,0.78,0.45,0.80,18866,42113,33700,8412,33690,8423,ALABAMA_HALE
AL 1997,ALABAMA,HENRY,Henry,Hardwood,"3,355",974,"4,329",527,187,714,237,130,367,"4,119","1,291","5,410",43,0.78,0.45,0.80,18866,46297,37046,9251,37038,9259,ALABAMA_HENRY
AL 1997,ALABAMA,HOUSTON,Houston,Hardwood,"1,346",348,"1,694",206,73,279,92,51,143,"1,644",472,"2,116",43,0.78,0.45,0.80,18866,18108,14497,3611,14487,3622,ALABAMA_HOUSTON
AL 1997,ALABAMA,JACKSON,Jackson,Hardwood,"4,881","1,159","6,040",735,261,996,330,181,511,"5,947","1,600","7,547",43,0.78,0.45,0.80,18866,64585,51689,12897,51668,12917,ALABAMA_JACKSON
AL 1997,ALABAMA,JEFFERSON,Jefferson,Hardwood,"4,632","1,339","5,971",727,258,985,327,179,506,"5,686","1,776","7,462",43,0.78,0.45,0.80,18866,63858,51098,12760,51086,12772,ALABAMA_JEFFERSON
AL 1997,ALABAMA,LAMAR,Lamar,Hardwood,"8,771","2,458","11,229","1,367",485,"1,852",615,336,951,"10,753","3,279","14,032",43,0.78,0.45,0.80,18866,120082,96095,23987,96066,24016,ALABAMA_LAMAR
AL 1997,ALABAMA,LAUDERDALE,Lauderdale,Hardwood,"2,675",697,"3,372",410,146,556,184,101,285,"3,270",943,"4,213",43,0.78,0.45,0.80,18866,36054,28857,7197,28843,7211,ALABAMA_LAUDERDALE
AL 1997,ALABAMA,LAWRENCE,Lawrence,Hardwood,"1,898",530,"2,428",296,105,401,133,73,206,"2,328",707,"3,035",43,0.78,0.45,0.80,18866,25973,20778,5195,20778,5195,ALABAMA_LAWRENCE
AL 1997,ALABAMA,LEE,Lee,Hardwood,"3,047",877,"3,924",478,169,647,215,117,332,"3,740","1,163","4,903",43,0.78,0.45,0.80,18866,41959,33581,8378,33567,8392,ALABAMA_LEE
AL 1997,ALABAMA,LIMESTONE,Limestone,Hardwood,"2,815",670,"3,485",425,150,575,191,104,295,"3,430",925,"4,355",43,0.78,0.45,0.80,18866,37269,29824,7445,29815,7454,ALABAMA_LIMESTONE
AL 1997,ALABAMA,LOWNDES,Lowndes,Hardwood,"4,887","1,416","6,303",768,272,"1,040",345,189,534,"6,000","1,877","7,877",43,0.78,0.45,0.80,18866,67409,53939,13470,53927,13482,ALABAMA_LOWNDES
AL 1997,ALABAMA,MACON,Macon,Hardwood,"3,205",879,"4,084",498,176,674,224,122,346,"3,927","1,177","5,104",43,0.78,0.45,0.80,18866,43679,34950,8729,34943,8736,ALABAMA_MACON
AL 1997,ALABAMA,MADISON,Madison,Hardwood,"2,268",538,"2,806",342,121,463,154,84,238,"2,764",743,"3,507",43,0.78,0.45,0.80,18866,30012,24013,5999,24010,6002,ALABAMA_MADISON
AL 1997,ALABAMA,MARENGO,Marengo,Hardwood,"15,848","3,818","19,666","2,395",849,"3,244","1,077",588,"1,665","19,319","5,256","24,575",43,0.78,0.45,0.80,18866,210306,168296,42010,168245,42061,ALABAMA_MARENGO
AL 1997,ALABAMA,MARION,Marion,Hardwood,"3,610","1,040","4,650",566,201,767,255,139,394,"4,431","1,380","5,811",43,0.78,0.45,0.80,18866,49729,39793,9936,39783,9946,ALABAMA_MARION
AL 1997,ALABAMA,MARSHALL,Marshall,Hardwood,"1,378",387,"1,765",215,76,291,96,53,149,"1,689",516,"2,205",43,0.78,0.45,0.80,18866,18870,15104,3765,15096,3774,ALABAMA_MARSHALL
AL 1997,ALABAMA,MOBILE,Mobile,Hardwood,"5,409","1,484","6,893",839,298,"1,137",378,206,584,"6,626","1,988","8,614",43,0.78,0.45,0.80,18866,73716,58988,14728,58973,14743,ALABAMA_MOBILE
AL 1997,ALABAMA,MONROE,Monroe,Hardwood,"14,748","4,243","18,991","2,312",820,"3,132","1,040",568,"1,608","18,100","5,631","23,731",43,0.78,0.45,0.80,18866,203084,162520,40564,162467,40617,ALABAMA_MONROE
AL 1997,ALABAMA,MONTGOMERY,Montgomery,Hardwood,"8,342","1,941","10,283","1,252",444,"1,696",563,308,871,"10,157","2,693","12,850",43,0.78,0.45,0.80,18866,109967,87999,21968,87973,21993,ALABAMA_MONTGOMERY
AL 1997,ALABAMA,MORGAN,Morgan,Hardwood,"2,007",590,"2,597",316,112,428,142,78,220,"2,465",780,"3,245",43,0.78,0.45,0.80,18866,27770,22224,5545,22216,5554,ALABAMA_MORGAN
AL 1997,ALABAMA,PERRY,Perry,Hardwood,"3,941","1,102","5,043",614,218,832,276,151,427,"4,831","1,471","6,302",43,0.78,0.45,0.80,18866,53931,43157,10774,43145,10786,ALABAMA_PERRY
AL 1997,ALABAMA,PICKENS,Pickens,Hardwood,"13,212","3,530","16,742","2,038",723,"2,761",916,501,"1,417","16,167","4,753","20,920",43,0.78,0.45,0.80,18866,179028,143274,35754,143222,35806,ALABAMA_PICKENS
AL 1997,ALABAMA,PIKE,Pike,Hardwood,"5,241","1,370","6,611",805,285,"1,090",362,198,560,"6,408","1,853","8,261",43,0.78,0.45,0.80,18866,70695,56575,14120,56556,14139,ALABAMA_PIKE
AL 1997,ALABAMA,RANDOLPH,Randolph,Hardwood,"4,267","1,177","5,444",663,235,898,298,163,461,"5,228","1,575","6,803",43,0.78,0.45,0.80,18866,58218,46588,11630,46575,11644,ALABAMA_RANDOLPH
AL 1997,ALABAMA,RUSSELL,Russell,Hardwood,"3,809","1,085","4,894",596,211,807,268,146,414,"4,672","1,443","6,115",43,0.78,0.45,0.80,18866,52331,41882,10449,41864,10466,ALABAMA_RUSSELL
AL 1997,ALABAMA,SHELBY,Shelby,Hardwood,"2,319",606,"2,925",356,126,482,160,88,248,"2,835",820,"3,655",43,0.78,0.45,0.80,18866,31279,25031,6247,25023,6256,ALABAMA_SHELBY
AL 1997,ALABAMA,ST. CLAIR,St. Clair,Hardwood,"2,747",789,"3,536",430,153,583,193,106,299,"3,371","1,047","4,418",43,0.78,0.45,0.80,18866,37808,30260,7548,30246,7562,ALABAMA_ST. CLAIR
AL 1997,ALABAMA,SUMTER,Sumter,Hardwood,"7,079","2,040","9,119","1,110",394,"1,504",499,273,772,"8,689","2,706","11,395",43,0.78,0.45,0.80,18866,97515,78038,19477,78012,19503,ALABAMA_SUMTER
AL 1997,ALABAMA,TALLADEGA,Talladega,Hardwood,"5,373","1,595","6,968",848,301,"1,149",381,209,590,"6,603","2,104","8,707",43,0.78,0.45,0.80,18866,74512,59630,14882,59610,14902,ALABAMA_TALLADEGA
AL 1997,ALABAMA,TALLAPOOSA,Tallapoosa,Hardwood,"8,334","2,390","10,724","1,306",463,"1,769",587,321,908,"10,227","3,174","13,401",43,0.78,0.45,0.80,18866,114682,91773,22909,91746,22936,ALABAMA_TALLAPOOSA
AL 1997,ALABAMA,TUSCALOOSA,Tuscaloosa,Hardwood,"13,360","3,637","16,997","2,069",734,"2,803",930,509,"1,439","16,360","4,879","21,239",43,0.78,0.45,0.80,18866,181758,145456,36302,145406,36352,ALABAMA_TUSCALOOSA
AL 1997,ALABAMA,WALKER,Walker,Hardwood,"15,118","4,423","19,541","2,379",844,"3,223","1,069",585,"1,654","18,566","5,852","24,418",43,0.78,0.45,0.80,18866,208963,167227,41736,167170,41793,ALABAMA_WALKER
AL 1997,ALABAMA,WASHINGTON,Washington,Hardwood,"10,416","2,843","13,259","1,615",572,"2,187",725,397,"1,122","12,756","3,812","16,568",43,0.78,0.45,0.80,18866,141784,113467,28318,113428,28357,ALABAMA_WASHINGTON
AL 1997,ALABAMA,WILCOX,Wilcox,Hardwood,"6,807","1,888","8,695","1,059",375,"1,434",476,260,736,"8,342","2,523","10,865",43,0.78,0.45,0.80,18866,92980,74409,18570,74384,18596,ALABAMA_WILCOX
AL 1997,ALABAMA,WINSTON,Winston,Hardwood,"4,692","1,248","5,940",724,256,980,325,178,503,"5,741","1,682","7,423",43,0.78,0.45,0.80,18866,63524,50833,12691,50819,12705,ALABAMA_WINSTON
AR 1997,ARKANSAS,ARKANSAS,Arkansas,Hardwood,"2,613",582,"3,195",489,659,"1,148",436,303,739,"3,539","1,543","5,082",43,0.78,0.45,0.80,18866,43490,27342,16148,34792,8698,ARKANSAS_ARKANSAS
AR 1997,ARKANSAS,ASHLEY,Ashley,Hardwood,"8,477","2,614","11,091","1,698","2,286","3,984","1,514","1,050","2,564","11,688","5,951","17,639",43,0.78,0.45,0.80,18866,150950,94914,56036,120760,30190,ARKANSAS_ASHLEY
AR 1997,ARKANSAS,BAXTER,Baxter,Hardwood,741,159,900,138,185,323,123,85,208,"1,002",429,"1,431",43,0.78,0.45,0.80,18866,12246,7702,4544,9797,2449,ARKANSAS_BAXTER
AR 1997,ARKANSAS,BENTON,Benton,Hardwood,"2,089",446,"2,535",388,523,911,346,240,586,"2,823","1,209","4,032",43,0.78,0.45,0.80,18866,34505,21694,12811,27604,6901,ARKANSAS_BENTON
