State,States,COUNTY,County,Species_Group,Growing_Stock,Non_growing_Stock,All_Sources,Growing_Stock,Non_growing_Stock,All_Sources,Growing_Stock,Non_growing_Stock,All_Sources,Growing_Stock,Non_growing_Stock,All_Sources,Hardwood_Density_lb_ft3,Df,CC,Percentshoot,HANPP_lb_C_perthousand_cubicfeet,TotalHANPP_Harvest_in_Tonnes,HANPP_harvest_used_in_Tonnes,HANPP_Harvest_unused_in_Tonnes,HANPP_Harvest_above_ground_in_Tonnes,HANPP_Harvest_below_ground_in_Tonnes,Stcnty
AL 2007,ALABAMA,DEKALB,DeKalb,Hardwood,"3,067",319,"3,386",601,895,"1,496",412,179,591,"4,080","1,393","5,473",43,0.78,0.45,0.8,18866,46836,28976,17860,37469,9367,ALABAMA_DEKALB
AL 2007,ALABAMA,ELMORE,Elmore,Hardwood,"2,080",165,"2,245",398,594,992,273,119,392,"2,751",878,"3,629",43,0.78,0.45,0.8,18866,31056,19212,11844,24845,6211,ALABAMA_ELMORE
AL 2007,ALABAMA,ESCAMBIA,Escambia,Hardwood,"4,463",557,"5,020",890,"1,327","2,217",610,266,876,"5,964","2,149","8,113",43,0.78,0.45,0.8,18866,69429,42960,26469,55543,13886,ALABAMA_ESCAMBIA
AL 2007,ALABAMA,ETOWAH,Etowah,Hardwood,"1,235",164,"1,399",248,370,618,170,74,244,"1,653",608,"2,261",43,0.78,0.45,0.8,18866,19349,11972,7377,15479,3870,ALABAMA_ETOWAH
AL 2007,ALABAMA,FAYETTE,Fayette,Hardwood,"3,527",376,"3,903",692,"1,032","1,724",474,207,681,"4,694","1,614","6,308",43,0.78,0.45,0.8,18866,53982,33401,20581,43186,10796,ALABAMA_FAYETTE
AL 2007,ALABAMA,FRANKLIN,Franklin,Hardwood,"2,069",267,"2,336",415,617,"1,032",284,124,408,"2,767","1,009","3,776",43,0.78,0.45,0.8,18866,32314,19991,12323,25851,6463,ALABAMA_FRANKLIN
AL 2007,ALABAMA,GENEVA,Geneva,Hardwood,722,85,807,143,213,356,98,43,141,963,341,"1,304",43,0.78,0.45,0.8,18866,11159,6906,4253,8927,2232,ALABAMA_GENEVA
AL 2007,ALABAMA,GREENE,Greene,Hardwood,"3,866",395,"4,261",756,"1,126","1,882",518,226,744,"5,140","1,747","6,887",43,0.78,0.45,0.8,18866,58937,36464,22473,47150,11787,ALABAMA_GREENE
AL 2007,ALABAMA,HALE,Hale,Hardwood,"3,592",388,"3,980",706,"1,052","1,758",483,211,694,"4,782","1,650","6,432",43,0.78,0.45,0.8,18866,55043,34060,20984,44035,11009,ALABAMA_HALE
AL 2007,ALABAMA,HENRY,Henry,Hardwood,"3,027",360,"3,387",601,895,"1,496",412,179,591,"4,039","1,435","5,474",43,0.78,0.45,0.8,18866,46845,28985,17860,37476,9369,ALABAMA_HENRY
AL 2007,ALABAMA,HOUSTON,Houston,Hardwood,"2,073",194,"2,267",402,599,"1,001",276,120,396,"2,751",913,"3,664",43,0.78,0.45,0.8,18866,31356,19400,11955,25084,6271,ALABAMA_HOUSTON
AL 2007,ALABAMA,JACKSON,Jackson,Hardwood,"7,616",727,"8,343","1,480","2,205","3,685","1,014",442,"1,456","10,110","3,374","13,484",43,0.78,0.45,0.8,18866,115392,71397,43995,92314,23078,ALABAMA_JACKSON
AL 2007,ALABAMA,JEFFERSON,Jefferson,Hardwood,"2,563",230,"2,793",496,738,"1,234",339,148,487,"3,398","1,116","4,514",43,0.78,0.45,0.8,18866,38630,23902,14728,30904,7726,ALABAMA_JEFFERSON
