State,States,COUNTY,County,Species_Group,Growing_Stock,Non_growing_Stock,All_Sources,Growing_Stock,Non_growing_Stock,All_Sources,Growing_Stock,Non_growing_Stock,All_Sources,Growing_Stock,Non_growing_Stock,All_Sources,Hardwood_Density_lb_ft3,Df,CC,Percentshoot,HANPP_lb_C_perthousand_cubicfeet,TotalHANPP_Harvest_in_Tonnes,HANPP_harvest_used_in_Tonnes,HANPP_Harvest_unused_in_Tonnes,HANPP_Harvest_above_ground_in_Tonnes,HANPP_Harvest_below_ground_in_Tonnes,Stcnty
IA 2007,IOWA,GREENE,Greene,Hardwood,2,42,44,0,0,0,0,0,0,2,42,44,43,0.78,0.45,0.8,18866,377,377,0,301,75,IOWA_GREENE
IA 2007,IOWA,GRUNDY,Grundy,Hardwood,2,48,50,0,0,0,0,0,0,2,48,50,43,0.78,0.45,0.8,18866,428,428,0,342,86,IOWA_GRUNDY
IA 2007,IOWA,GUTHRIE,Guthrie,Hardwood,3,41,44,0,0,0,0,0,0,3,41,44,43,0.78,0.45,0.8,18866,377,377,0,301,75,IOWA_GUTHRIE
IA 2007,IOWA,HAMILTON,Hamilton,Hardwood,2,61,63,0,0,0,0,0,0,2,61,63,43,0.78,0.45,0.8,18866,539,539,0,431,108,IOWA_HAMILTON
IA 2007,IOWA,HANCOCK,Hancock,Hardwood,2,50,52,0,0,0,0,0,0,2,50,52,43,0.78,0.45,0.8,18866,445,445,0,356,89,IOWA_HANCOCK
IA 2007,IOWA,HARDIN,Hardin,Hardwood,3,73,76,0,0,0,0,0,0,3,73,76,43,0.78,0.45,0.8,18866,650,650,0,520,130,IOWA_HARDIN
IA 2007,IOWA,HARRISON,Harrison,Hardwood,6,95,102,7,22,29,0,0,0,13,117,131,43,0.78,0.45,0.8,18866,1121,873,248,897,224,IOWA_HARRISON
IA 2007,IOWA,HENRY,Henry,Hardwood,164,100,265,42,105,147,0,0,0,207,205,412,43,0.78,0.45,0.8,18866,3526,2268,1258,2821,705,IOWA_HENRY
IA 2007,IOWA,HOWARD,Howard,Hardwood,34,44,78,11,25,35,0,0,0,44,69,113,43,0.78,0.45,0.8,18866,967,668,300,774,193,IOWA_HOWARD
IA 2007,IOWA,HUMBOLDT,Humboldt,Hardwood,2,45,47,0,0,0,0,0,0,2,45,47,43,0.78,0.45,0.8,18866,402,402,0,322,80,IOWA_HUMBOLDT
IA 2007,IOWA,IDA,Ida,Hardwood,2,31,32,0,0,0,0,0,0,2,31,32,43,0.78,0.45,0.8,18866,274,274,0,219,55,IOWA_IDA
IA 2007,IOWA,IOWA,Iowa,Hardwood,384,152,536,127,301,428,0,0,0,511,453,964,43,0.78,0.45,0.8,18866,8250,4587,3663,6600,1650,IOWA_IOWA
IA 2007,IOWA,JACKSON,Jackson,Hardwood,547,277,823,130,299,429,775,170,945,"1,452",746,"2,197",43,0.78,0.45,0.8,18866,18801,7043,11758,15041,3760,IOWA_JACKSON
IA 2007,IOWA,JASPER,Jasper,Hardwood,5,126,131,0,0,0,0,0,0,5,126,131,43,0.78,0.45,0.8,18866,1121,1121,0,897,224,IOWA_JASPER
IA 2007,IOWA,JEFFERSON,Jefferson,Hardwood,568,216,784,210,481,691,0,0,0,778,697,"1,475",43,0.78,0.45,0.8,18866,12623,6709,5913,10098,2525,IOWA_JEFFERSON
IA 2007,IOWA,JOHNSON,Johnson,Hardwood,29,301,329,5,12,17,0,0,0,34,312,346,43,0.78,0.45,0.8,18866,2961,2815,145,2369,592,IOWA_JOHNSON
IA 2007,IOWA,JONES,Jones,Hardwood,203,126,329,55,130,185,0,0,0,258,256,514,43,0.78,0.45,0.8,18866,4399,2815,1583,3519,880,IOWA_JONES
IA 2007,IOWA,KEOKUK,Keokuk,Hardwood,462,171,633,171,397,568,0,0,0,633,568,"1,201",43,0.78,0.45,0.8,18866,10278,5417,4861,8222,2056,IOWA_KEOKUK
IA 2007,IOWA,KOSSUTH,Kossuth,Hardwood,3,71,74,0,0,0,0,0,0,3,71,74,43,0.78,0.45,0.8,18866,633,633,0,507,127,IOWA_KOSSUTH
IA 2007,IOWA,LEE,Lee,Hardwood,543,302,844,137,321,459,0,0,0,680,623,"1,303",43,0.78,0.45,0.8,18866,11151,7223,3928,8921,2230,IOWA_LEE
IA 2007,IOWA,LINN,Linn,Hardwood,97,616,714,29,66,94,0,0,0,126,682,808,43,0.78,0.45,0.8,18866,6915,6110,804,5532,1383,IOWA_LINN
IA 2007,IOWA,LOUISA,Louisa,Hardwood,65,58,122,24,50,74,0,0,0,89,108,196,43,0.78,0.45,0.8,18866,1677,1044,633,1342,335,IOWA_LOUISA
IA 2007,IOWA,LUCAS,Lucas,Hardwood,2,37,40,0,0,0,0,0,0,2,37,40,43,0.78,0.45,0.8,18866,342,342,0,274,68,IOWA_LUCAS
IA 2007,IOWA,LYON,Lyon,Hardwood,95,51,146,8,26,35,0,0,0,104,77,181,43,0.78,0.45,0.8,18866,1549,1249,300,1239,310,IOWA_LYON
IA 2007,IOWA,MADISON,Madison,Hardwood,2,41,43,0,0,0,0,0,0,2,41,43,43,0.78,0.45,0.8,18866,368,368,0,294,74,IOWA_MADISON
IA 2007,IOWA,MAHASKA,Mahaska,Hardwood,115,107,222,30,77,107,0,0,0,146,184,330,43,0.78,0.45,0.8,18866,2824,1900,924,2259,565,IOWA_MAHASKA
IA 2007,IOWA,MARION,Marion,Hardwood,4,98,102,0,0,0,0,0,0,4,98,102,43,0.78,0.45,0.8,18866,873,873,0,698,175,IOWA_MARION
IA 2007,IOWA,MARSHALL,Marshall,Hardwood,6,142,148,0,0,0,0,0,0,6,142,149,43,0.78,0.45,0.8,18866,1275,1267,9,1020,255,IOWA_MARSHALL
IA 2007,IOWA,MILLS,Mills,Hardwood,0,0,0,0,0,0,0,0,0,0,0,0,43,0.78,0.45,0.8,18866,0,0,0,0,0,IOWA_MILLS
IA 2007,IOWA,MITCHELL,Mitchell,Hardwood,61,47,108,12,33,45,0,0,0,73,81,153,43,0.78,0.45,0.8,18866,1309,924,385,1047,262,IOWA_MITCHELL
IA 2007,IOWA,MONONA,Monona,Hardwood,2,39,41,8,25,33,0,0,0,10,65,75,43,0.78,0.45,0.8,18866,642,351,291,513,128,IOWA_MONONA
IA 2007,IOWA,MONROE,Monroe,Hardwood,205,107,312,59,141,200,0,0,0,264,248,512,43,0.78,0.45,0.8,18866,4382,2670,1712,3505,876,IOWA_MONROE
IA 2007,IOWA,MONTGOMERY,Montgomery,Hardwood,2,49,51,0,0,0,0,0,0,2,49,51,43,0.78,0.45,0.8,18866,436,436,0,349,87,IOWA_MONTGOMERY
IA 2007,IOWA,MUSCATINE,Muscatine,Hardwood,87,172,259,20,49,69,0,0,0,107,221,328,43,0.78,0.45,0.8,18866,2807,2216,590,2246,561,IOWA_MUSCATINE
IA 2007,IOWA,O'BRIEN,O'Brien,Hardwood,3,55,58,0,0,0,0,0,0,3,55,58,43,0.78,0.45,0.8,18866,496,496,0,397,99,IOWA_O'BRIEN
IA 2007,IOWA,OSCEOLA,Osceola,Hardwood,1,28,30,0,0,0,0,0,0,1,28,30,43,0.78,0.45,0.8,18866,257,257,0,205,51,IOWA_OSCEOLA
IA 2007,IOWA,PAGE,Page,Hardwood,3,66,69,0,0,0,0,0,0,3,66,69,43,0.78,0.45,0.8,18866,590,590,0,472,118,IOWA_PAGE
IA 2007,IOWA,PALO ALTO,Palo Alto,Hardwood,2,42,44,0,0,0,0,0,0,2,42,44,43,0.78,0.45,0.8,18866,377,377,0,301,75,IOWA_PALO ALTO
IA 2007,IOWA,PLYMOUTH,Plymouth,Hardwood,4,80,83,0,0,0,0,0,0,4,80,83,43,0.78,0.45,0.8,18866,710,710,0,568,142,IOWA_PLYMOUTH
IA 2007,IOWA,POCAHONTAS,Pocahontas,Hardwood,2,36,38,0,0,0,0,0,0,2,36,38,43,0.78,0.45,0.8,18866,325,325,0,260,65,IOWA_POCAHONTAS
IA 2007,IOWA,POLK,Polk,Hardwood,43,"1,143","1,186",0,0,0,0,0,0,43,"1,143","1,186",43,0.78,0.45,0.8,18866,10149,10149,0,8120,2030,IOWA_POLK
IA 2007,IOWA,POTTAWATTAMIE,Pottawattamie,Hardwood,13,294,306,0,0,0,0,294,294,13,588,600,43,0.78,0.45,0.8,18866,5135,2619,2516,4108,1027,IOWA_POTTAWATTAMIE
IA 2007,IOWA,POWESHIEK,Poweshiek,Hardwood,16,64,80,26,57,83,0,0,0,42,121,163,43,0.78,0.45,0.8,18866,1395,685,710,1116,279,IOWA_POWESHIEK
IA 2007,IOWA,RINGGOLD,Ringgold,Hardwood,74,48,122,20,50,71,0,0,0,95,98,193,43,0.78,0.45,0.8,18866,1652,1044,608,1321,330,IOWA_RINGGOLD
IA 2007,IOWA,SAC,Sac,Hardwood,2,48,50,0,0,0,0,0,0,2,48,50,43,0.78,0.45,0.8,18866,428,428,0,342,86,IOWA_SAC
IA 2007,IOWA,SCOTT,Scott,Hardwood,38,562,600,86,21,107,"3,083",744,"3,827","3,208","1,326","4,534",43,0.78,0.45,0.8,18866,38801,5135,33666,31041,7760,IOWA_SCOTT
IA 2007,IOWA,SHELBY,Shelby,Hardwood,2,49,51,0,0,0,0,0,0,2,49,51,43,0.78,0.45,0.8,18866,436,436,0,349,87,IOWA_SHELBY
IA 2007,IOWA,SIOUX,Sioux,Hardwood,5,94,99,0,0,0,0,0,0,5,94,99,43,0.78,0.45,0.8,18866,847,847,0,678,169,IOWA_SIOUX
IA 2007,IOWA,STORY,Story,Hardwood,9,227,237,0,0,0,0,0,0,9,227,237,43,0.78,0.45,0.8,18866,2028,2028,0,1623,406,IOWA_STORY
IA 2007,IOWA,TAMA,Tama,Hardwood,182,184,366,49,128,178,0,0,0,232,312,544,43,0.78,0.45,0.8,18866,4655,3132,1523,3724,931,IOWA_TAMA
IA 2007,IOWA,TAYLOR,Taylor,Hardwood,44,43,87,13,32,45,0,0,0,58,74,132,43,0.78,0.45,0.8,18866,1130,745,385,904,226,IOWA_TAYLOR
IA 2007,IOWA,UNION,Union,Hardwood,2,46,48,0,0,0,0,0,0,2,46,48,43,0.78,0.45,0.8,18866,411,411,0,329,82,IOWA_UNION
IA 2007,IOWA,VAN BUREN,Van Buren,Hardwood,519,142,661,120,256,376,374,797,"1,170","1,012","1,195","2,207",43,0.78,0.45,0.8,18866,18887,5657,13230,15110,3777,IOWA_VAN BUREN
IA 2007,IOWA,WAPELLO,Wapello,Hardwood,206,183,390,58,143,201,0,0,0,265,327,591,43,0.78,0.45,0.8,18866,5058,3338,1720,4046,1012,IOWA_WAPELLO
IA 2007,IOWA,WARREN,Warren,Hardwood,70,147,217,0,0,0,0,0,0,70,147,217,43,0.78,0.45,0.8,18866,1857,1857,0,1486,371,IOWA_WARREN
IA 2007,IOWA,WASHINGTON,Washington,Hardwood,351,186,537,121,280,401,0,0,0,471,467,938,43,0.78,0.45,0.8,18866,8027,4596,3432,6422,1605,IOWA_WASHINGTON
IA 2007,IOWA,WAYNE,Wayne,Hardwood,50,44,94,11,30,41,0,0,0,61,73,135,43,0.78,0.45,0.8,18866,1155,804,351,924,231,IOWA_WAYNE
IA 2007,IOWA,WEBSTER,Webster,Hardwood,7,151,158,0,0,0,0,0,0,7,151,158,43,0.78,0.45,0.8,18866,1352,1352,0,1082,270,IOWA_WEBSTER
IA 2007,IOWA,WINNEBAGO,Winnebago,Hardwood,2,46,48,0,0,0,0,0,0,2,46,48,43,0.78,0.45,0.8,18866,411,411,0,329,82,IOWA_WINNEBAGO
IA 2007,IOWA,WINNESHIEK,Winneshiek,Hardwood,395,139,534,87,202,289,0,0,0,482,341,823,43,0.78,0.45,0.8,18866,7043,4570,2473,5634,1409,IOWA_WINNESHIEK
IA 2007,IOWA,WOODBURY,Woodbury,Hardwood,15,339,353,0,0,0,0,0,0,15,339,353,43,0.78,0.45,0.8,18866,3021,3021,0,2417,604,IOWA_WOODBURY
IA 2007,IOWA,WORTH,Worth,Hardwood,2,31,32,0,0,0,0,0,0,2,31,32,43,0.78,0.45,0.8,18866,274,274,0,219,55,IOWA_WORTH
IA 2007,IOWA,WRIGHT,Wright,Hardwood,3,57,59,0,0,0,0,0,0,3,57,59,43,0.78,0.45,0.8,18866,505,505,0,404,101,IOWA_WRIGHT
ID 2007,IDAHO,CUSTER,Custer,Hardwood,4,1,5,0,1,1,0,0,0,4,2,6,43,0.78,0.45,0.8,18866,51,43,9,41,10,IDAHO_CUSTER
IL 2007,ILLINOIS,ADAMS,Adams,Hardwood,"1,023",648,"1,671",266,554,820,0,0,0,"1,289","1,201","2,491",43,0.78,0.45,0.8,18866,21317,14300,7017,17054,4263,ILLINOIS_ADAMS
IL 2007,ILLINOIS,ALEXANDER,Alexander,Hardwood,403,26,429,186,359,544,0,0,0,588,385,973,43,0.78,0.45,0.8,18866,8327,3671,4655,6661,1665,ILLINOIS_ALEXANDER
IL 2007,ILLINOIS,BOND,Bond,Hardwood,318,181,499,65,151,216,0,0,0,383,332,715,43,0.78,0.45,0.8,18866,6119,4270,1848,4895,1224,ILLINOIS_BOND
IL 2007,ILLINOIS,BOONE,Boone,Hardwood,318,179,497,41,92,134,0,0,0,360,271,631,43,0.78,0.45,0.8,18866,5400,4253,1147,4320,1080,ILLINOIS_BOONE
IL 2007,ILLINOIS,BROWN,Brown,Hardwood,816,123,939,196,431,627,0,0,0,"1,012",554,"1,566",43,0.78,0.45,0.8,18866,13401,8036,5366,10721,2680,ILLINOIS_BROWN
IL 2007,ILLINOIS,BUREAU,Bureau,Hardwood,5,107,112,0,1,1,0,0,0,5,108,113,43,0.78,0.45,0.8,18866,967,958,9,774,193,ILLINOIS_BUREAU
IL 2007,ILLINOIS,CALHOUN,Calhoun,Hardwood,650,77,727,162,340,503,0,0,0,812,417,"1,230",43,0.78,0.45,0.8,18866,10526,6221,4305,8421,2105,ILLINOIS_CALHOUN
IL 2007,ILLINOIS,CARROLL,Carroll,Hardwood,102,50,152,15,26,41,0,0,0,117,76,192,43,0.78,0.45,0.8,18866,1643,1301,342,1314,329,ILLINOIS_CARROLL
IL 2007,ILLINOIS,CASS,Cass,Hardwood,421,88,508,96,254,350,0,0,0,517,341,858,43,0.78,0.45,0.8,18866,7343,4347,2995,5874,1469,ILLINOIS_CASS
IL 2007,ILLINOIS,CHAMPAIGN,Champaign,Hardwood,15,318,333,5,14,19,0,0,0,20,332,352,43,0.78,0.45,0.8,18866,3012,2850,163,2410,602,ILLINOIS_CHAMPAIGN
IL 2007,ILLINOIS,CHRISTIAN,Christian,Hardwood,21,186,207,3,7,9,0,0,0,24,193,217,43,0.78,0.45,0.8,18866,1857,1771,86,1486,371,ILLINOIS_CHRISTIAN
IL 2007,ILLINOIS,CLARK,Clark,Hardwood,79,501,581,1,1,1,0,0,0,80,502,582,43,0.78,0.45,0.8,18866,4981,4972,9,3984,996,ILLINOIS_CLARK
IL 2007,ILLINOIS,CLAY,Clay,Hardwood,993,146,"1,139",308,574,882,0,0,0,"1,301",720,"2,021",43,0.78,0.45,0.8,18866,17295,9747,7548,13836,3459,ILLINOIS_CLAY
IL 2007,ILLINOIS,CLINTON,Clinton,Hardwood,"1,027",242,"1,269",296,620,916,0,0,0,"1,324",862,"2,185",43,0.78,0.45,0.8,18866,18699,10860,7839,14959,3740,ILLINOIS_CLINTON
IL 2007,ILLINOIS,COLES,Coles,Hardwood,248,139,387,64,133,197,0,0,0,312,272,585,43,0.78,0.45,0.8,18866,5006,3312,1694,4005,1001,ILLINOIS_COLES
IL 2007,ILLINOIS,COOK,Cook,Hardwood,457,"5,043","5,500",40,86,126,0,0,0,497,"5,129","5,626",43,0.78,0.45,0.8,18866,48146,47068,1078,38517,9629,ILLINOIS_COOK
IL 2007,ILLINOIS,CRAWFORD,Crawford,Hardwood,259,501,760,48,33,81,0,0,0,307,534,841,43,0.78,0.45,0.8,18866,7197,6504,693,5758,1439,ILLINOIS_CRAWFORD
IL 2007,ILLINOIS,CUMBERLAND,Cumberland,Hardwood,349,196,545,91,186,276,0,0,0,440,381,821,43,0.78,0.45,0.8,18866,7026,4664,2362,5621,1405,ILLINOIS_CUMBERLAND
IL 2007,ILLINOIS,DE WITT,De Witt,Hardwood,0,44,44,0,0,0,0,0,0,0,44,44,43,0.78,0.45,0.8,18866,377,377,0,301,75,ILLINOIS_DE WITT
IL 2007,ILLINOIS,DEKALB,DeKalb,Hardwood,14,183,197,4,8,12,0,0,0,18,191,209,43,0.78,0.45,0.8,18866,1789,1686,103,1431,358,ILLINOIS_DEKALB
IL 2007,ILLINOIS,DOUGLAS,Douglas,Hardwood,7,32,40,0,0,0,0,0,0,7,32,40,43,0.78,0.45,0.8,18866,342,342,0,274,68,ILLINOIS_DOUGLAS
IL 2007,ILLINOIS,DUPAGE,DuPage,Hardwood,89,911,"1,000",0,0,0,0,0,0,89,911,"1,000",43,0.78,0.45,0.8,18866,8558,8558,0,6846,1712,ILLINOIS_DUPAGE
IL 2007,ILLINOIS,EDGAR,Edgar,Hardwood,361,256,617,0,0,0,0,0,0,361,256,617,43,0.78,0.45,0.8,18866,5280,5280,0,4224,1056,ILLINOIS_EDGAR
IL 2007,ILLINOIS,EDWARDS,Edwards,Hardwood,55,129,184,11,24,35,0,0,0,66,153,219,43,0.78,0.45,0.8,18866,1874,1575,300,1499,375,ILLINOIS_EDWARDS
IL 2007,ILLINOIS,EFFINGHAM,Effingham,Hardwood,"1,081",218,"1,300",313,640,953,"2,438",260,"2,698","3,832","1,118","4,950",43,0.78,0.45,0.8,18866,42361,11125,31236,33889,8472,ILLINOIS_EFFINGHAM
IL 2007,ILLINOIS,FAYETTE,Fayette,Hardwood,"1,326",330,"1,656",378,790,"1,168",0,0,0,"1,704","1,120","2,824",43,0.78,0.45,0.8,18866,24167,14172,9995,19334,4833,ILLINOIS_FAYETTE
IL 2007,ILLINOIS,FORD,Ford,Hardwood,5,36,41,0,0,0,0,0,0,5,36,41,43,0.78,0.45,0.8,18866,351,351,0,281,70,ILLINOIS_FORD
IL 2007,ILLINOIS,FRANKLIN,Franklin,Hardwood,"1,129",276,"1,405",313,651,963,0,0,0,"1,442",927,"2,369",43,0.78,0.45,0.8,18866,20273,12024,8250,16219,4055,ILLINOIS_FRANKLIN
IL 2007,ILLINOIS,FULTON,Fulton,Hardwood,861,431,"1,292",206,438,644,0,0,0,"1,067",869,"1,936",43,0.78,0.45,0.8,18866,16568,11057,5511,13254,3314,ILLINOIS_FULTON
IL 2007,ILLINOIS,GALLATIN,Gallatin,Hardwood,"1,221",457,"1,678",199,194,393,0,0,0,"1,419",652,"2,071",43,0.78,0.45,0.8,18866,17723,14360,3363,14178,3545,ILLINOIS_GALLATIN
IL 2007,ILLINOIS,GREENE,Greene,Hardwood,525,320,845,100,210,310,555,0,555,"1,181",530,"1,711",43,0.78,0.45,0.8,18866,14642,7231,7411,11714,2928,ILLINOIS_GREENE
IL 2007,ILLINOIS,GRUNDY,Grundy,Hardwood,147,495,642,4,5,9,0,0,0,151,500,652,43,0.78,0.45,0.8,18866,5580,5494,86,4464,1116,ILLINOIS_GRUNDY
IL 2007,ILLINOIS,HAMILTON,Hamilton,Hardwood,710,301,"1,011",208,410,618,0,0,0,918,711,"1,629",43,0.78,0.45,0.8,18866,13941,8652,5289,11152,2788,ILLINOIS_HAMILTON
IL 2007,ILLINOIS,HANCOCK,Hancock,Hardwood,904,601,"1,505",164,350,514,295,118,413,"1,363","1,069","2,432",43,0.78,0.45,0.8,18866,20812,12879,7933,16650,4162,ILLINOIS_HANCOCK
IL 2007,ILLINOIS,HARDIN,Hardin,Hardwood,475,180,655,264,503,767,0,0,0,740,682,"1,422",43,0.78,0.45,0.8,18866,12169,5605,6564,9735,2434,ILLINOIS_HARDIN
IL 2007,ILLINOIS,HENDERSON,Henderson,Hardwood,232,135,368,58,117,175,0,0,0,290,253,543,43,0.78,0.45,0.8,18866,4647,3149,1498,3717,929,ILLINOIS_HENDERSON
IL 2007,ILLINOIS,HENRY,Henry,Hardwood,487,707,"1,194",109,227,335,844,641,"1,485","1,439","1,575","3,014",43,0.78,0.45,0.8,18866,25793,10218,15575,20634,5159,ILLINOIS_HENRY
IL 2007,ILLINOIS,IROQUOIS,Iroquois,Hardwood,59,761,821,0,0,0,0,0,0,60,761,821,43,0.78,0.45,0.8,18866,7026,7026,0,5621,1405,ILLINOIS_IROQUOIS
IL 2007,ILLINOIS,JACKSON,Jackson,Hardwood,"1,303",389,"1,692",665,"1,347","2,012","1,206",0,"1,206","3,174","1,736","4,910",43,0.78,0.45,0.8,18866,42018,14480,27539,33615,8404,ILLINOIS_JACKSON
IL 2007,ILLINOIS,JASPER,Jasper,Hardwood,522,135,657,155,305,461,0,0,0,677,440,"1,117",43,0.78,0.45,0.8,18866,9559,5622,3937,7647,1912,ILLINOIS_JASPER
IL 2007,ILLINOIS,JEFFERSON,Jefferson,Hardwood,674,174,848,197,398,595,0,0,0,871,572,"1,443",43,0.78,0.45,0.8,18866,12349,7257,5092,9879,2470,ILLINOIS_JEFFERSON
IL 2007,ILLINOIS,JERSEY,Jersey,Hardwood,765,502,"1,267",102,222,325,0,0,0,867,724,"1,592",43,0.78,0.45,0.8,18866,13624,10843,2781,10899,2725,ILLINOIS_JERSEY
IL 2007,ILLINOIS,JO DAVIESS,Jo Daviess,Hardwood,517,929,"1,446",124,245,369,0,0,0,641,"1,174","1,815",43,0.78,0.45,0.8,18866,15532,12374,3158,12426,3106,ILLINOIS_JO DAVIESS
IL 2007,ILLINOIS,JOHNSON,Johnson,Hardwood,621,121,742,380,559,939,0,0,0,"1,000",681,"1,681",43,0.78,0.45,0.8,18866,14386,6350,8036,11508,2877,ILLINOIS_JOHNSON
IL 2007,ILLINOIS,KANE,Kane,Hardwood,198,638,836,42,93,135,"2,842",891,"3,733","3,081","1,623","4,704",43,0.78,0.45,0.8,18866,40256,7154,33101,32204,8051,ILLINOIS_KANE
IL 2007,ILLINOIS,KANKAKEE,Kankakee,Hardwood,24,700,725,0,0,0,0,0,0,24,700,725,43,0.78,0.45,0.8,18866,6204,6204,0,4963,1241,ILLINOIS_KANKAKEE
IL 2007,ILLINOIS,KENDALL,Kendall,Hardwood,8,"1,575","1,583",0,0,0,0,0,0,8,"1,575","1,583",43,0.78,0.45,0.8,18866,13547,13547,0,10838,2709,ILLINOIS_KENDALL
IL 2007,ILLINOIS,KNOX,Knox,Hardwood,156,185,341,30,59,90,0,137,137,186,382,568,43,0.78,0.45,0.8,18866,4861,2918,1943,3889,972,ILLINOIS_KNOX
IL 2007,ILLINOIS,LA SALLE,La Salle,Hardwood,39,527,566,3,6,9,"5,073","1,427","6,500","5,116","1,960","7,075",43,0.78,0.45,0.8,18866,60546,4844,55702,48437,12109,ILLINOIS_LA SALLE
IL 2007,ILLINOIS,LAKE,Lake,Hardwood,2,"2,848","2,850",41,91,132,0,0,0,43,"2,939","2,982",43,0.78,0.45,0.8,18866,25519,24390,1130,20415,5104,ILLINOIS_LAKE
IL 2007,ILLINOIS,LAWRENCE,Lawrence,Hardwood,376,122,499,80,98,178,0,0,0,456,220,676,43,0.78,0.45,0.8,18866,5785,4270,1515,4628,1157,ILLINOIS_LAWRENCE
IL 2007,ILLINOIS,LEE,Lee,Hardwood,29,275,304,1,1,2,0,58,58,30,334,363,43,0.78,0.45,0.8,18866,3106,2602,505,2485,621,ILLINOIS_LEE
IL 2007,ILLINOIS,LIVINGSTON,Livingston,Hardwood,10,264,274,0,0,0,0,0,0,10,264,274,43,0.78,0.45,0.8,18866,2345,2345,0,1876,469,ILLINOIS_LIVINGSTON
IL 2007,ILLINOIS,LOGAN,Logan,Hardwood,60,82,142,15,34,49,0,0,0,75,117,192,43,0.78,0.45,0.8,18866,1643,1215,428,1314,329,ILLINOIS_LOGAN
IL 2007,ILLINOIS,MACON,Macon,Hardwood,22,291,314,0,0,0,0,0,0,22,291,314,43,0.78,0.45,0.8,18866,2687,2687,0,2150,537,ILLINOIS_MACON
IL 2007,ILLINOIS,MACOUPIN,Macoupin,Hardwood,"1,834",322,"2,156",580,"1,095","1,675",99,94,193,"2,513","1,511","4,024",43,0.78,0.45,0.8,18866,34436,18450,15986,27549,6887,ILLINOIS_MACOUPIN
IL 2007,ILLINOIS,MADISON,Madison,Hardwood,157,669,826,6,12,18,"1,398",528,"1,926","1,561","1,209","2,770",43,0.78,0.45,0.8,18866,23705,7069,16636,18964,4741,ILLINOIS_MADISON
IL 2007,ILLINOIS,MARION,Marion,Hardwood,"1,480",364,"1,844",427,877,"1,303",0,0,0,"1,907","1,240","3,147",43,0.78,0.45,0.8,18866,26931,15780,11151,21545,5386,ILLINOIS_MARION
IL 2007,ILLINOIS,MARSHALL,Marshall,Hardwood,35,28,63,8,15,23,0,0,0,43,43,86,43,0.78,0.45,0.8,18866,736,539,197,589,147,ILLINOIS_MARSHALL
IL 2007,ILLINOIS,MASON,Mason,Hardwood,405,110,514,86,226,312,0,0,0,491,335,826,43,0.78,0.45,0.8,18866,7069,4399,2670,5655,1414,ILLINOIS_MASON
IL 2007,ILLINOIS,MASSAC,Massac,Hardwood,171,46,217,89,150,240,11,44,55,271,240,511,43,0.78,0.45,0.8,18866,4373,1857,2516,3498,875,ILLINOIS_MASSAC
IL 2007,ILLINOIS,MCDONOUGH,McDonough,Hardwood,608,354,962,155,320,474,0,0,0,763,674,"1,437",43,0.78,0.45,0.8,18866,12297,8233,4065,9838,2459,ILLINOIS_MCDONOUGH
IL 2007,ILLINOIS,MCHENRY,McHenry,Hardwood,163,"6,965","7,128",0,0,0,0,0,0,163,"6,965","7,128",43,0.78,0.45,0.8,18866,61000,61000,0,48800,12200,ILLINOIS_MCHENRY
IL 2007,ILLINOIS,MCLEAN,McLean,Hardwood,21,457,477,14,31,45,0,50,50,35,537,572,43,0.78,0.45,0.8,18866,4895,4082,813,3916,979,ILLINOIS_MCLEAN
IL 2007,ILLINOIS,MENARD,Menard,Hardwood,0,90,90,0,0,0,0,0,0,0,90,90,43,0.78,0.45,0.8,18866,770,770,0,616,154,ILLINOIS_MENARD
IL 2007,ILLINOIS,MERCER,Mercer,Hardwood,90,56,146,19,40,60,0,0,0,109,97,206,43,0.78,0.45,0.8,18866,1763,1249,513,1410,353,ILLINOIS_MERCER
IL 2007,ILLINOIS,MONROE,Monroe,Hardwood,408,176,585,105,228,334,0,0,0,513,405,918,43,0.78,0.45,0.8,18866,7856,5006,2850,6285,1571,ILLINOIS_MONROE
IL 2007,ILLINOIS,MONTGOMERY,Montgomery,Hardwood,478,176,654,97,223,320,0,0,0,575,398,973,43,0.78,0.45,0.8,18866,8327,5597,2730,6661,1665,ILLINOIS_MONTGOMERY
IL 2007,ILLINOIS,MORGAN,Morgan,Hardwood,293,159,452,27,73,99,0,0,0,320,232,552,43,0.78,0.45,0.8,18866,4724,3868,856,3779,945,ILLINOIS_MORGAN
IL 2007,ILLINOIS,MOULTRIE,Moultrie,Hardwood,9,60,69,0,0,0,0,0,0,9,60,69,43,0.78,0.45,0.8,18866,590,590,0,472,118,ILLINOIS_MOULTRIE
IL 2007,ILLINOIS,OGLE,Ogle,Hardwood,73,416,489,17,29,45,0,0,0,90,444,534,43,0.78,0.45,0.8,18866,4570,4185,385,3656,914,ILLINOIS_OGLE
IL 2007,ILLINOIS,PEORIA,Peoria,Hardwood,132,710,842,22,43,65,0,0,0,155,752,907,43,0.78,0.45,0.8,18866,7762,7206,556,6209,1552,ILLINOIS_PEORIA
IL 2007,ILLINOIS,PERRY,Perry,Hardwood,360,213,573,106,218,324,0,0,0,465,431,897,43,0.78,0.45,0.8,18866,7676,4904,2773,6141,1535,ILLINOIS_PERRY
